Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department
DHS-0010-2023,DHS,Customs and Border Protection,,RVSS Legacy Overhauled System Project (INVNT),"Video Computer Aided Detection (VCAD) (also known as Matroid AI) is software that enables CBP end users to create and share vision detectors. 

VCAD detectors are trained computer vision models that recognize objects, people, and events in any image or video stream. Once a detector is trained, it can monitor streaming video in real time, or efficiently search through pre-recorded video data or images to identify objects, people, and events of interest. 

Users can view detection information via a variety of reports and alert notifications to process and identify important events and trends. Detection data is also available through VCAD's powerful developer Application Programming Interface (API) and language specific clients, so CBP applications can be integrated with the power of computer vision.",Deployment,"The Matroid software currently processes and annotates images using proprietary software to determine if any of the images contain human subjects. Future use cases include the potential to detect additional items of interest such as vehicles, subjects with long-arm rifles or large backpacks and to exclude items of little or no interest such as animals.",,Department of Homeland Security
DHS-0011-2023,DHS,Customs and Border Protection,,Use of technology to identify proof of life,"The Use of technology to identify proof of life, or ""Liveness Detection,"" uses Artificial Intelligence to reduce fraudulent activity, primarily for use within the CBP One app.

The CBP One app is designed to provide the public with a single portal to a variety of CBP services. It includes different functionality for travelers, importers, brokers, carriers, International Organizations, and other entities under a single consolidated log-in, and uses guided questions to help users determine the correct services, forms, or applications needed.

The Liveness Detection component used by the authentication system for the CBP One app uses the user's mobile device camera in addition to Artificial Intelligence algorithms to determine if the face presented to the app is the person in front of the camera at the time of capture and not a photo, mask, or other spoofing mechanism. Being able to accept submitted data with confidence that the submitting individual is who and where they claim to be is critical to the functionality of the app within the agency environment. ",Development and Acquisition,Machine Vision,,Department of Homeland Security
DHS-0012-2023,DHS,Customs and Border Protection,,Vessel Detection,"Integrated technologies and analytics enhance maritime detection and the sensor network. Machine-assisted and AI-enhanced detection and tracking allows for improved illicit vessel detection in areas with high volumes of legitimate trade and recreational water vessel traffic by increasing situational awareness and responsiveness to threats.

Vessel Detection allows an agent to set a search area with criteria (e.g., people, drones, vehicles) and transmit that criteria to the sensors.  Images detected by the sensors are auto-recognized using Artificial Intelligence. The AI algorithms filter, detect, and recognize objects and divides them into Items of Interest (IoI) and ""other"" objects. 

Detections of IoI are shared with other detection systems while detections of other objects (e.g., animals) are not shared. IoIs can be tracked and maintained across multiple sensors seamlessly.",Development and Acquisition,Machine Vision,,Department of Homeland Security
DHS-0013-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Advanced Analytic Enabled Forensic Investigation,"CISA deploys forensic specialists to analyze cyber events at Federal Civilian Executive Branch (FCEB) departments and agencies, as well as other State, Local, Tribal, Territorial, and Critical Infrastructure partners. Forensic analysts can utilize advanced analytic tooling, in the form of Artificial Intelligence implementations to better understand anomalies and potential threats. This tooling allows forensic specialists the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security
DHS-0014-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Advanced Network Anomaly Alerting,"Threat hunting and Security Operations Center (SOC) analysts are provided terabytes per day of data from the National Cybersecurity Protection System's (NCPS) Einstein sensors. Manually developed detection alerts and automatic correlation via off the shelf tooling are common, but not comprehensive. Many network attacks can be probabilistically determined given sufficient training data and time. Analysts use automated tooling to further refine the alerts they receive and produce additional automated alerts based on aggregated information and backed in subject matter expertise. This tooling allows CISA analysts the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security
DHS-0015-2023,DHS,Cybersecurity and Infrastructure Security Agency,,AI Security and Robustness,"Frameworks, processes, and testing tools developed to govern the acquisition, development, deployment, and maintenance of AI technologies. Technology integrators within CISA as well as the rest of the federal enterprise use AI-enhanced tools to assure the trustworthy, robust, and secure operation of their AI systems. These tools use Machine Learning and Natural Language Processing to enhance the assessment of AI technology within the agency by speeding up data processing.",Initiation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security
DHS-0016-2023,DHS,Cybersecurity and Infrastructure Security Agency,,AIS Scoring and Feedback,"AIS Automated Scoring & Feedback (AS&F) is uses descriptive analytics from organizational-centric intelligence to support confidence and opinion/reputation classification of indicators of compromise (IOCs). Looking at an indicator AS&F determines if the indicator is present in known-good list by cross-referencing organizational-centric intelligence data of known non-malicious/benign indicators and classifies accordingly if true. If not a known-good, determine if there are sightings of the indicator by cross-referencing organizational-centric intelligence and classify accordingly if true. If there are no sightings for the indicator, determine if this indicator has been verified by an analyst within our organizational-centric intelligence and classify accordingly if true. Lastly if the indicator has not been verified by an analyst, AS&F determines whether there are other reports within our organizational-centric intelligence about this indicator and classifies accordingly. AIS participants can triage against the populated opinion and/or confidence values to identify Indicator objects meeting or exceeding designated criteria and filter out the remaining data. AIS participants may also find value in utilizing the confidence score (if present) and the opinion value to understand whether any difference between the publisher and other organizations exists. Together, these enrichments can help those receiving information from AIS prioritize actioning and investigating Indicator objects.",Operation and Maintenance,Descriptive Analysis; Machine Learning; NLP,,Department of Homeland Security
DHS-0017-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Automated Indicator Sharing (AIS) Automated PII Detection,"The Automated PII Detection and Human Review Process incorporates descriptive, predictive, and prescriptive analytics. Automated PII Detection leverages natural language processing (NLP) tasks including named entity recognition (NER) coupled with Privacy guidance thresholds to automatically detect potential PII from within AIS submissions. If submissions are flagged for possible PII, the submission will be queued for human review where the analysts will be provided with the submission and AI-assisted guidance to the specific PII concerns. Within Human Review, analysts are able to confirm/deny proper identification of PII and redact the information (if needed). Privacy experts are also able to review the actions of the system and analysts to ensure proper performance of the entire process along with providing feedback to the system and analysts for process improvements (if needed). The system learns from feedback from the analysts and Privacy experts. Through the incorporation of the automated PII detection, CISA fully compliances with Privacy, Civil Rights and Civil Liberties requirements of CISA 2015 and scaled analyst review of submissions by removing false positives and providing guidance to submission to be reviewed. Through continual audits CISA will maintain integrity and trust in system and human processes.",Operation and Maintenance,Natural Language Processing (NLP),,Department of Homeland Security
DHS-0018-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Critical Infrastructure Anomaly Alerting,"The Cyber Sentry program provides monitoring of critical infrastructure networks. Within the program, threat hunting analysts require advanced anomaly detection and machine learning capabilities to examine multimodal cyber-physical data on IT and OT networks, including ICS/SCADA. The Critical Infrastructure Anomaly Alerting model provides AI-assistance in processing this information.",Initiation,"Machine Learning, Visualization",,Department of Homeland Security
DHS-0019-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Incident Reporting,Cyber incident handling specialists utilize advanced automation tools to process data received through various threat intelligence and cyber incident channels. These tools leverage Machine Learning and Natural Language Processing to increase the accuracy and relevance of data that is filtered and presented to human analysts and decision-makers. Machine Learning techniques also assist to aggregate the information in reports for presentation and further analysis. This includes data received through covered CIRCIA entities.,Initiation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security
DHS-0020-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Threat Intelligence Feed Correlation,"Cyber Threat Intelligence Feed Correlation uses AI enabled capabilities to provide accelerated correlation across multiple incoming information feeds. This enables more timely enrichment to improve the externally shared information feeds. AI allows the algorithm to use the information items and results to learn most efficient ways to perform the task. Additionally, tailored algorithms could be created to provided sustained surveillance of threat actor TTPs.
",Initiation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security
DHS-0021-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Vulnerability Reporting,"Vulnerability analysts require advanced automation tools to process data received through various  vulnerability reporting channels, as well as aggregate the information for automated sharing. These tools leverage Machine Learning and Natural Language Processing to increase the accuracy and relevance of data that is filtered and presented to human analysts and decision-makers. Machine Learning techniques also assist to aggregate the information in reports for presentation and further analysis. This includes data in the KEV and CVE databases.",Initiation,"Natural Language Processing, Visualization",,Department of Homeland Security
DHS-0022-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Malware Reverse Engineering,"Reverse engineering of malware, and software analysis more broadly, will continue to be a critical activity in support of CISA’s cyber defense mission. Threat Focused Reverse Engineering (TFRE) leverages advanced engineering, formal methods, and deep learning techniques for better cyber threat intelligence. Without scalable, automated tools, it is difficult to disrupt sophisticated adversaries’ malware development lifecycle. New, unique, automated techniques are needed to better target adversaries, augment analysts, and create sophisticated tools for end users. Core tools disrupt the adversary’s development lifecycle by exposing tactics, techniques, and procedures (TTPs). Analysts could spend more time and energy to hunt/takedown threats; adversaries can spend less time operating malware and must commit more resources to reorient. TFRE consists of a broader development pipeline providing tool hardening, enhanced computational abilities, understanding of deployment environments, and other important capabilities.",Initiation,Machine Learning,,Department of Homeland Security
DHS-0023-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Operational Activities Explorer,"Duty officers and analysts in CISA's Operations Center use a dashboard powered by artificial intelligence to enable sensemaking of ongoing operational activities. Artificial intelligence uses new near-real-time event data (from open source reporting, partner reporting, CISA regional staff, and cybersecurity sensors) coupled with historical cybersecurity and infrastructure security information and previous operational response activity to recommend courses-of-action and engagement strategies with other government entities and critical infrastructure owners and operators based on potential impacts to the National Critical Functions.",Initiation,"Natural Language Processing (NLP), Machine Learning, Visualization",,Department of Homeland Security
DHS-0024-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Security Information and Event Management (SIEM) Alerting Models,"Threat hunting and Security Operations Center (SOC) analysts are provided terabytes per day of log data. Manually developed detection alerts and automatic correlation in Security Information and Event Management tool are common, but not comprehensive. Many cyber attacks can be probabilistically determined given sufficient training data and time. Analysts  use automated tooling to further refine the alerts they receive and produce additional automated alerts based on aggregated information and curated subject matter expertise. This tooling allows CISA analysts the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security
DHS-0025-2023,DHS,HQ,,Text Analytics for Survey Responses (TASR),Text Analytics for Survey Responses (TASR) is an application for performing Natural Language Processing (NLP) and text analytics on survey responses. It is currently being applied by DHS OCHCO to analyze and extract significant topics/themes from unstructured text responses to open-ended questions in the quarterly DHS Pulse Surveys. Results of extracted topics/themes are provided to DHS Leadership to better inform agency-wide efforts to meet employees’ basic needs and improve job satisfaction,Operation and Maintenance,"Natural Language Processing (NLP), Latent Dirichlet Allocation",,Department of Homeland Security
DHS-0026-2023,DHS,"HQ, Customs and Border Protection, Cybersecurity and Infrastructure Security Agency, Countering Weapons of Mass Destruction, Immigration and Customs Enforcement, Intelligence and Analysis, Science and Technology",,RelativityOne,"RelativityOne is a document review platform used to gain efficiencies in document review in litigation, FOIA, and other arenas where large-scale document review and production is necessary.",Operation and Maintenance,"Machine learning, Continuous Active Learning, Clustering",,Department of Homeland Security
DHS-0027-2023,DHS,Immigration and Customs Enforcement,,Normalization Services,"HSI uses Artificial Intelligence to verify, validate, correct, and normalize addresses, phone numbers, names, and ID numbers to streamline the process of correcting data entry errors, point out purposeful misidentification, connect information about a person across HSI datasets, and cut down the number of resource hours needed for investigations. 

Examples of the normalization services provided include: normalizing less well-defined addresses into usable addresses for analysis- (such as those using mile markers instead of a street number); inferring ID type based on user-provided ID value (such as distinguishing a SSN from a DL number without additional context); categorizing name parts while taking into account additional factors (including generational suffixes and multi-part family names); and validating and normalizing phone numbers to the E164 standard, including their identified county of origin.

These services are provided as part of the Repository for Analytics in a Virtualized Environment (RAVEn).  RAVEn is a DHS HSI Innovation Lab project that facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,Machine Learning,,Department of Homeland Security
DHS-0028-2023,DHS,Immigration and Customs Enforcement,,Machine Translation (Previously Language Translator),"Systran provides machine translation for over 100 different language combinations.  Currently the Innovation Lab has licenses for translating Chinese, Spanish, Arabic, Farsi, Russian, German, Ukrainian and Filipino to English.  Systran can translate plain text, word documents, and PDFS.  A web-based UI and API endpoint are available.",Operation and Maintenance,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security
DHS-0029-2023,DHS,Immigration and Customs Enforcement,,Email Analytics,"The Email Analytics application enables a user to review and analyze email data acquired through legal process.  AI is incorporated to accomplish spam message classification, and named entity recognition (NER) for entity extraction of names, organizations, locations, etc.  It also integrates machine translation capabilities using a commercial product.",Implementation,"Machine Learning, Natural Language Processing (NLP)",,Department of Homeland Security
DHS-0030-2023,DHS,Immigration and Customs Enforcement,,Mobile Device Analytics,"Mobile Device Analytics (MDA) has been developed to meet the demand on investigators to view and analyze massive amounts of data resulting from court ordered mobile device extractions.  The overarching goal of MDA is to improve the efficacy of agents and analysts in identifying pertinent evidence, relationships, and criminal networks from data extracted from cellular phones. Machine Learning is being developed for object detection (such as firearms, drugs, money, etc.) in photos and videos contained in the data.

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Development and Acquisition,"Machine Learning, Object Detection, Natural Language Processing (NLP)",,Department of Homeland Security
DHS-0031-2023,DHS,Immigration and Customs Enforcement,,Barcode Scanner,"The Barcode Scanner has been developed to scan and populate detected information into corresponding text fields within the RAVEn GO's Encounter Card. The barcode scanner currently supports MRZ and PDF417 barcode types, frequently found on travel documents (Passport and Passport cards) and US Driver's Licenses. 

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,"Machine Learning, Machine Vision",,Department of Homeland Security
DHS-0032-2023,DHS,Immigration and Customs Enforcement,,Facial Recognition Service,"The Facial Recognition Service is used during investigations conducted by HSI agents and analysts for identification of known individuals, as well as extracting faces for further investigations from perpetrators including child exploitation offenses, human rights atrocities, and war criminals.

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,"Machine Learning, Machine Vision",,Department of Homeland Security
DHS-0033-2023,DHS,United States Citizenship and Immigration Services,,I-485 Family Matching,"I-485 Family Matching is designed to create models to match family members to underlying I-485 petitions. The underlying immigrant petition defines if the I-485 is employment-based or family-based. It also has information about the visa classification and priority date which, when compared against the Department of State’s monthly Visa Bulletin, helps predict visa usage. It is difficult to match an I-485 to its underlying immigrant petition, because the only available field on which to match is the A-number. This number is not always present on the immigrant petition, and name/date of birth matching is not as reliable. The goal of I-485 Family Matching is to leverage AI to more confidently create connections between petitioners and their families based on limited data.

Additionally, it will be able to help identify and group I485s filed by family members, as well as gather up the many ancillary forms they may have pending (such as I765, I131). Similar to immigrant petition matching, it can be difficult to match up I485s filed by family members. In these cases the only similar fields are a common address. Efforts have been made in the past to identify family members by address, but it is effective only to a point. The AI model will help make working with this data more reliable, as well as group individual petitioners, their families, and other helpful associated data together for faster and more accurate processing.",Development and Acquisition,"Machine Learning, Clustering, Regression",,Department of Homeland Security
DHS-0034-2023,DHS,United States Citizenship and Immigration Services,,I-539 approval prediction,"This project attempts to train and build a machine learning throughput analysis model to predict when an I-539 ""Application to Extend or Change Nonimmigrant Status"" case will be approved through eProcessing. Allows for some potential improvement for the approval process via eProcessing channel.",Development and Acquisition,"Machine Learning, Clustering",,Department of Homeland Security
DHS-0035-2023,DHS,United States Citizenship and Immigration Services,,Identity Match Option (IMO) Process with DBIS Data Marts,"The Identity Match Option (IMO) is used to derive a single identity across multiple systems for each applicant or beneficiary who interacts with USCIS. The IMO aims to aid in person-centric research and analytics. 

USCIS maintains a variety of systems to track specific interactions with individuals – benefits case management, appointment scheduling, background check validation, and customer service inquiries.  Each system captures its own person-centric data attributes (e.g. SSN, A-number, Name, DOB, address, etc.) related to individuals interacting with the agency. The identity derivation process uses standard entity matching algorithms included as part of the IMO product to leverage these individual instances of person-centric data attributes to derive identities. The system is able to account for a variety of data formats and potential data quality issues in the source data. The resulting identities are linked back to the original source records, allowing analysts to see an individual’s comprehensive immigration history with the agency, perform fraud detection, and identify data quality issues requiring resolution.",Operation and Maintenance,Criteria based identification,,Department of Homeland Security
DHS-0036-2023,DHS,United States Citizenship and Immigration Services,,Person-Centric Identity Services A-Number Management Model,"The vision of Person-Centric Identity Services (PCIS) is to be the authoritative source of trusted biographical and biometric information that provides real-time, two-way visibility between services into an individual's comprehensive immigration history and status. The A-Number Management model ingests person-centric datasets from various source systems for model training and evaluation purposes. The dataset includes biographic information (name, date of birth, Alien #, Social Security #, passport #, etc.) as well as biographic information (fingerprint IDs, eye color, hair color, height, weight, etc.) for model training and matching purposes. 

The A-Number Management identifies which records from within our identity database best match search criteria. The model uses machine learning to ensure that search results presented to authorized external partners for external integrations and servicing have a high degree of confidence with the search criteria so that trust in the PCIS entity resolution remains high.

The A-Number Management model plays a critical role in the entity resolution and surfacing of a person and all their associated records. The machine learning models are more capable of resolving ""fuzzy"" matches, and deal with the reality of different data quality.",Operation and Maintenance,"Ensemble Learning, Machine Learning",,Department of Homeland Security
DHS-0037-2023,DHS,United States Citizenship and Immigration Services,,Person-Centric Identity Services Deduplication Model,"The vision of Person-Centric Identity Services (PCIS) is to be the authoritative source of trusted biographical and biometric information that provides real-time, two-way visibility between services into an individual's comprehensive immigration history and status. The de-duplication model, ingests person-centric datasets from various source systems for model training and evaluation purposes. Our dataset includes biographic information (name, date of birth, Alien #, Social Security #, passport #, etc.) as well as biographic information (fingerprint IDs, eye color, hair color, height, weight, etc.) for model training and matching purposes. 

Critical to the success of PCIS is the entity resolution/deduplication of individual records from various systems of records to create a complete picture of a person. Using machine learning, it is able to identify which case management records belong to the same unique individual with a high degree of confidence. This allows PCIS to pull together a full immigration history for an individual without time-consuming research across multiple disparate systems.

The Deduplication model plays a critical role in the entity resolution and surfacing of a person and all their associated records. The ML models are more resilient to fuzzy matches, and deals with the reality of different data fill rates more reliably.",Operation and Maintenance,Machine Learning,,Department of Homeland Security
DHS-0038-2023,DHS,United States Citizenship and Immigration Services,,Predicted to Naturalize,"The Predicted to Naturalize model predicts when Legal Permanent Residents would be eligible to naturalize, and attempts to provide a current address. This model could potentially be used to send correspondence to USCIS customers of their resident status, and notify others of potential USCIS benefits.",Implementation,"Machine Learning, Clustering, Regression",,Department of Homeland Security
DHS-0039-2023,DHS,United States Citizenship and Immigration Services,,Sentiment Analysis - Surveys,"The Sentiment Analysis - Surveys system provides a statistical analysis of quantitative results from survey results and then uses Natural Language Processing (NLP) modeling software to assign ""sentiments"" to categories ranging from strongly positive to strongly negative. This allows survey administrators to glean valuable information from employee satisfaction surveys from both quantitative and qualitative data. This capability is currently available on demand.",Operation and Maintenance,R SQL and Databricks,,Department of Homeland Security
DHS-0040-2023,DHS,United States Citizenship and Immigration Services,,Topic Modeling on Request For Evidence data sets,"Builds models that identify lists of topics and documents that are related to each topic. Topic Modeling provides methods for automatically organizing, understanding, searching, and summarizing text data. It can help with the following: discovering the hidden themes in the collection. classifying the documents into the discovered themes.",Development and Acquisition,"Natural Language Processing (NLP), Machine Learning, Clustering",,Department of Homeland Security
DOC-0000-2023,DOC,International Trade Administration (ITA),,B2B Matchmaking,"The system's algorithms and AI technology qualifies data and makes B2B matches with 
event participants according to their specific needs and available opportunities.  The 
systems inputs are data related to event participants and the outputs are suggested B2B 
matches between participants and a match strength scorecard.",,,,Department of Commerce
DOC-0001-2023,DOC,International Trade Administration (ITA),,Chatbot Pilot,"Chatbot embedded into trade.gov to assist ITA clients with FAQs, locating information and 
content, suggesting events and services.  ITA clients would enter input into the chatbot in 
the form of questions or responses to prompts.  The chatbot would scan ITA content 
libraries and input from ITA staff and return answers and suggestions based on client 
persona (exporter, foreign buyer, investor).",,,,Department of Commerce
DOC-0002-2023,DOC,International Trade Administration (ITA),,Consolidated Screening List,"The Consolidated Screening List (CSL) is a list of parties for which the United States 
Government maintains restrictions on certain exports, reexports, or transfers of items. It 
consists of the consolidation of 13 export screening lists of the Departments of 
Commerce, State, and Treasury.  The CSL search engine has “Fuzzy Name Search” 
capabilities, allowing a search without knowing the exact spelling of an entity’s name. In 
Fuzzy Name mode, the CSL returns a “score” for results that exactly or nearly match the 
searched name. This is particularly helpful when searching on CSL for names that have 
been translated into English from non-Latin alphabet languages.",,,,Department of Commerce
DOC-0003-2023,DOC,International Trade Administration (ITA),,AD/CVD Self Initiation,"The ADCVD program investigates allegations of dumping and/or countervailing of duties.  
Investigations are initiated when a harmed US entity files a petition identifying the alleged 
offence and the specific harm inflicted.  Self-Initiation will allow ITA to monitor trade 
patterns for this activity and preemptively initiate investigations by identifying harmed US 
entities, often before these entities are aware of the harm.",,,,Department of Commerce
DOC-0004-2023,DOC,International Trade Administration (ITA),,Market Diversification Toolkit,"The Market Diversification Tool identifies potential new export markets using current 
trade patterns. A user enters what products they make and the markets they currently 
export to.  The Market Diversification Tool applies a ML algorithm to identify and compare 
markets that should be considered.  The tool brings together product-specific trade and 
tariff data and economy-level macroeconomic and governance data to provide a picture 
of which markets make sense for further market research. Users can limit the markets in 
the results to only the ones they want to consider and modify how each of the eleven 
indicators in the tool contributes to a country’s overall score. Users can export all the data 
to a spreadsheet for further analysis.",,,,Department of Commerce
