AI Use Case Name,Agency With AI Use Case,Optional Note Field,Office With AI Use Case,Summary,Current Stage Of Production,Lifecycle Stage Additional Comments,AI Techniques Used,Agency Training Used,Training Data Origins,Included In Enterprise Inventory,Public Data Link,Use Case Code Accessible,Code Included In Agency Inventory,Source Code Public Link,Agency Able To Test Code,Agency Able To Monitor/Audit,FISMA System Name,Withhold Use Case,Explanation To Withhold Use Case
Regulatory Compliance Mapping Tool,Department of Transportation,Federal Aviation Administration,AVS,"The AVS International office is required to identify means of compliance to ICAO Standards and Recommended Practices (SARPs).  Both SARPs and means of compliance evidence are text paragraphs scattered across thousands of pages of documents.  AOV identified a need to find each SARP, evaluate the text of many FAA Orders, and suggest evidence of compliance based upon the evaluation of the text.  The base dataset used by RCMT is the documents’ texts deconstructed into paragraphs.  RCMT processes all the documents’ paragraphs run through Natural Language Processing (NLP) (this process has an AI aspect) to extract the meaning (semantics) of the text.    RCMT then employs a recommender system (also using some AI technology) to take the texts augmented by the texts’ meaning to establish candidate matches between the ICAO SARPs and FAA text that provides means of compliance.",Planned (not in production),User Acceptance Testing to begin early spring '22,"ML (Recommender Algorithim) , NLP,",Yes,Agency Generated,No,FAA Orders and ICAO Annexes,No,No,NA,NA,NA,NA,false,NA
JASC Code classification in Safety Difficulty Reports (SDR),Department of Transportation,Federal Aviation Administration,AVS,"AVS identified a need to derive the joint aircraft system codes (JASC) chapter codes from the narrative description within service difficulty reports (SDR), a form of safety event reporting from aircraft operators. A team of graduate students at George Mason University collaborated with AVS employees to apply Natural Language Processing (NLP) and Machine Learning to predict JASC codes. This method can be used to check SDR entries to ensure the correct codes were provided or to assign a code when one was not.",Planned (not in production),NA,"NLP, ML Classification",Yes,Agency Generated,Yes,NA,Yes,No,NA,Yes,Yes,Service Difficult Reporting System (SDRS),false,NA
REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,true,REDACTED
Offshore Precipitation Capability (OPC),Department of Transportation,Federal Aviation Administration,NextGen (ANG),"OPC leverages data from several sources such as weather radar, lightning networks, satellite and numerical models to produce a radar-like depiction of precipitation. The algorithm then applies machine learning techniques based on years of satellite and model data to improve the accuracy of the location and intensity of the precipitation areas.",In production: more than 1 year,"OPC runs in a pseudo-operational capacity via a webpage maintained by the Massachusetts Institute of Technology - Lincoln Lab, as well as in a test and evaluation capacity in a research mode.","AI, ML via a Convolutional Neural Network",Yes,Agency Generated,No,,Yes,No,,,,,false,
Course Deviation Identification for Multiple Airport Route Separation (MARS),Department of Transportation,Federal Aviation Administration,Aviation Safety (AVS),"The Multiple Airport Route Separation (MARS) program is developing a safety case for reduced separation standards between Performance Based Navigation (PBN) routes in terminal airspace. These new standards may enable deconfliction of airports in high-demand metropolitan areas, including the Northeast Corridor (NEC), North Texas, and Southern California. To build necessary collision risk models for the safety case, several models are needed, including one that describes the behavior of aircraft that fail to navigate the procedure correctly. These events are very rare and difficult to identify with standard data sources. Prior work has used Machine Learning to filter incident data to identify similar events on departure procedures.",Planned (not in production),NA,"Python in Jupyter Labs, ML, NLP",Yes,Agency Generated,No,NA,Yes,No,NA,Yes,Yes,"CEDAR MORs/EORs, Pilot Deviation Reports",false,Sensitive communications.
REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,true,REDACTED
Determining Surface Winds with Machine Learning Software,Department of Transportation,Federal Aviation Administration,ANG,Successfully demonstrated use of an AI capability to analyze camera images of a wind sock to produce highly accurate surface wind speed and direction information in remote areas that don’t have a weather observing sensor.,Planned (not in production),Successfully tested but not in production.,AI,Yes,Agency Generated,No,,No,No,,,,,false,
Remote Oceanic Meteorological Information Operations (ROMIO),Department of Transportation,Federal Aviation Administration,ANG,"ROMIO is an operational demonstration to evaluate the feasibility to uplink convective weather information to aircraft operating over the ocean and remote regions. Capability converted weather satellite data, lightning and weather prediction model data into areas of thunderstorm activity and cloud top heights. AI is used to improve the accuracy of the output based on previous activity compared to ground truth data.",Planned (not in production),Technical transfer of capability to industry planned this summer.,"AI, ML via a Convolutional Neural Network",Yes,Agency Generated,No,,Yes,No,,,,,false,
REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,true,REDACTED
REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,true,REDACTED
REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,true,REDACTED
Machine Learning for Occupant Safety Research,Department of Transportation,National Highway Traffic Safety Administration,NSR Human Injury Research Division,"Description: Utilize deep learning models for predicting head kinematics directly from crash videos. The utilization of deep learning techniques enables the extraction of 3D kinematics from 2D views, offering a viable alternative for calculating head kinematics in the absence of sensors or when sensor availability is inadequate, and when high-quality sensor data is absent
Input:  Vehicle crash videos
Output: Angular velocity - injury prediction",Planned (not in production),Proof of Concept completed and published,"Deep learning models - Convolutional Neural Networks, Long-Short Term Memory based Recurrent Neural Networks",Yes,Agency Generated,Yes,NA,Yes,No,NA,Yes,,,false,
Machine Learning for Occupant Safety Research,Department of Transportation,National Highway Traffic Safety Administration,NSR Human Injury Research Division,"Description: Utilize deep learning for predicting crash parameters, Delta-V (change in velocity) and PDOF (principal direction of force), directly from real-world crash images. Delta-V and PDOF are two most important parameters affecting injury outcome. Deep learning models can help predict both Delta-V and PDOF, without the need to run WinSmash software for Delta-V computation, and without requiring estimations by crash examiners.  Moreover, with deep learning models, the Delta-V and PDOF can be obtained within milliseconds, providing rapid results for improved efficiency""
Input:  Real world crash images
Output:  Delta-V & PDOF",Planned (not in production),Currently under development,Deep learning models - Convolutional Neural Networks,Yes,Agency Generated,Yes,"Data is taken from NASS-CDS, CISS and CIREN databases, which are publically available",Yes,No,NA,Yes,,,false,
PHMSA Rule Making,Department of Transportation,Pipeline and Hazardous Materials Safety Administration (PHMSA,PHMSA Office of Chief Counsel (PHC),"Artificial Intelligence Support for Rulemaking - Using ChatGPT to support the rulemanking processes to provide significant efficiencies, reduction of effort, or the ability to scale efforts for unusual levels of public scrutiny or interest (e.g. comments on a rulemaking).    ChatGPT will be used to provide: 
1.  Sentiment Analysis – Is the comment positive / negative or neutral towards the proposed rule.
2.  Relevance Analysis – Whether the particular comment posted is relevant to the proposed rule
3.  Synopsis of the posted comment.
4.  Cataloging of comments.
5.  Identification of duplicate comments.",Planned (not in production),This is a pilot initiative,"ChatGPT, NLP",Yes,Agency Generated,Yes,N/A,Yes,No,N/A,Yes,Yes,Office Automation for Administrative Systems Support,false,
Crushed Aggregate Gradation Evaluation System,Department of Transportation,Federal Railroad Administration,"Office of Research, Development and Technology","Description: Deep learning computer vision algorithms aimed at analyzing aggregate particle size grading.
Input: Images of ballast cross sections
Output: Ballast fouling index",In production: less than 1 year,NA,,,,,,,,,,,,false,
Automatic Track Change Detection Demonstration and Analysis,Department of Transportation,Federal Railroad Administration,"Office of Research, Development and Technology","Description: DeepCNet-based neural network to identify and classify track-related  features (e.g., track components, such as fasteners and ties) for ""change detection"" applications.
Input: Line-scan images from rail-bound inspection systems
Output: Notification of changes from status quo or between different inspections based on geolocation.",In production: more than 1 year,NA,,,,,,,,,,,,false,
Development of Predictive Analytics Using Autonomous Track Geometry Measurement System (ATGMS) Data,Department of Transportation,Federal Railroad Administration,"Office of Research, Development and Technology","Description: Leveraging large volumes of these recursive track geometry measurements to develop and implement automated machine-learning-based processes for analyzing, predicting, and reporting track locations of concern, including those with significant rates of degradation.
Input: Track geometry measurements and exceptions
Output: Inspection report that includes the trending of track geometry measures and time to failure (i.e., maintenance and safety limits).",In production: more than 1 year,NA,,,,,,,,,,,,false,
REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,true,REDACTED
