Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,project_title_text,summary_text,LLM_summary_text,risk_assessment_safety,risk_assessment_rights,is_risk_assessment_rights,is_risk_assessment_safety
HHS-0030-2023,HHS,CDC,NCEZID,Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking,Development of a Natural Language Processing Topic Modeling tool to improve efficiency for the process of clustering public comments to a 'notice of proposed rulemaking' ,Development and Acquisition,,,Department of Health and Human Services,"Use of Natural Language Processing for Topic Modeling to Automate Review of Public Comments to Notice of Proposed Rulemaking: 
Development of a Natural Language Processing Topic Modeling tool to improve efficiency for the process of clustering public comments to a 'notice of proposed rulemaking' ","A Natural Language Processing (NLP) tool has been developed to automate the review of public comments for a 'notice of proposed rulemaking' (NPRM). This tool utilizes NLP for topic modeling, improving the efficiency of clustering the comments and streamlining the process.","A Natural Language Processing (NLP) tool has been developed to automate the review of public comments for a 'notice of proposed rulemaking' (NPRM). This tool utilizes NLP for topic modeling, improving the efficiency of clustering the comments and streamlining the process.",,"Yes, the project described above is potentially a safety risk. 

The project involves the use of Natural Language Processing (NLP) to automate the review of public comments for a 'notice of proposed rulemaking' (NPRM). While this may seem like a harmless application of NLP, it falls under the category of ""decisions to block, remove, hide, or limit the reach of protected speech"" as defined in the risks. 

Automating the review of public comments can potentially lead to the suppression or censorship of certain viewpoints, which can infringe on individuals' freedom of speech. It is crucial to ensure that any decisions related to blocking or limiting the reach of protected speech are made with careful consideration and human oversight to avoid bias or potential harm.

Therefore, considering the potential risks involved in the project, it is classified as a safety risk.",True,False
DOE-0118-2023,DOE,National Energy Technology Laboratory,,To implement boiler health monitoring using a hybrid first principles-artificial intelligence model,"Develop methodologies and algorithms to yield (1) a hybrid first-
principles artificial intelligence (AI) model of a PC boiler, (2) a physics-
based approach to material damage informed by ex-service component 
evaluation, and (3) an online health-monitoring framework that 
synergistically leverages the hybrid models and plant measurements to 
provide the spatial and temporal profile of key transport variables and 
characteristic measures for plant health.",,Artificial Intelligence Unknown,,Department of Energy,"To implement boiler health monitoring using a hybrid first principles-artificial intelligence model: 
Develop methodologies and algorithms to yield (1) a hybrid first-
principles artificial intelligence (AI) model of a PC boiler, (2) a physics-
based approach to material damage informed by ex-service component 
evaluation, and (3) an online health-monitoring framework that 
synergistically leverages the hybrid models and plant measurements to 
provide the spatial and temporal profile of key transport variables and 
characteristic measures for plant health.","The text outlines the steps needed to implement a hybrid first principles-artificial intelligence model for monitoring the health of a boiler. This includes developing algorithms and methodologies for creating the model, using a physics-based approach to assess material damage, and creating an online health-monitoring framework that combines the hybrid models and plant measurements to track key variables and measures for the boiler's health.","The text outlines the steps needed to implement a hybrid first principles-artificial intelligence model for monitoring the health of a boiler. This includes developing algorithms and methodologies for creating the model, using a physics-based approach to assess material damage, and creating an online health-monitoring framework that combines the hybrid models and plant measurements to track key variables and measures for the boiler's health.","Yes, the project is potentially a safety risk. 

The project involves the design, construction, and testing of industrial equipment, specifically a boiler. If the implementation of the hybrid first principles-artificial intelligence model fails, it could pose a meaningful risk to safety. A malfunctioning boiler can lead to various safety hazards such as explosions, fires, and release of hazardous chemicals or substances.

Additionally, the project involves the transport, safety, design, or development of potentially hazardous chemicals or biological entities, as the boiler's health is monitored through plant measurements and assessment of material damage. Mishandling or improper management of these hazardous substances can result in safety risks to workers, the environment, and potentially the surrounding community.

Therefore, due to the involvement of industrial equipment, potential risks associated with material damage assessment, and the management of hazardous substances, this project is potentially a safety risk.",,False,True
USDA-0034-2023,USDA,USDA,OASCR,Artificial Intelligence SPAM Mitigation Project,"The AI Solution invoves Robotic Process Automation + AI/ML model solution to automatically classify and remove spam and marketing emails that appear in civil rights complaints email channels. A significant portion of incoming OASCR emails are spam, marketing and phishing emails. 
",Development and Acquisition,"Machine Learning,Machine Language Learning",,Department of Agriculture,"Artificial Intelligence SPAM Mitigation Project: 
The AI Solution invoves Robotic Process Automation + AI/ML model solution to automatically classify and remove spam and marketing emails that appear in civil rights complaints email channels. A significant portion of incoming OASCR emails are spam, marketing and phishing emails. 
","The Artificial Intelligence SPAM Mitigation Project aims to tackle the issue of spam and marketing emails in civil rights complaints email channels. By combining Robotic Process Automation with AI/ML models, the project automatically identifies and eliminates these unwanted emails, which make up a significant proportion of incoming OASCR emails.","The Artificial Intelligence SPAM Mitigation Project aims to tackle the issue of spam and marketing emails in civil rights complaints email channels. By combining Robotic Process Automation with AI/ML models, the project automatically identifies and eliminates these unwanted emails, which make up a significant proportion of incoming OASCR emails.",,"Yes, the project described has the potential to be a safety risk. The risks outlined in the project description fall under category (a) of the defined risks, which involves decisions to block, remove, hide, or limit the reach of protected speech. By automatically identifying and eliminating unwanted emails, there is a possibility that legitimate emails containing protected speech could be mistakenly classified as spam and blocked or removed. This could infringe on individuals' freedom of speech and potentially have legal implications. Therefore, the project should carefully consider the potential safety risks and ensure that proper safeguards are in place to prevent any undue limitations on protected speech.",True,False
HHS-0107-2023,HHS,FDA,NCTR,NCTR/DBB-CDER/OCS collaboration on A SafetAI Initiative to Enhance IND Review Process,"The development of animal-free models has been actively investigated and successfully demonstrated as an alternative to animal-based approaches for toxicity assessments.  Artificial Intelligence (AI) and Machine learning (ML) have been the central engine in this paradigm shift to identify safety biomarkers from non-animal assays or to predict safety outcomes solely based on chemical structure data. AI is a computer system or algorithm that has the ability to learn from existing data to foresee the future outcome. ML, a subset of AI, has been specifically studied to make predictions for adverse drug reactions. Deep Learning (DL) is arguably the most advanced approach in ML which frequently outperforms other types of ML approaches (or conventional ML approaches) for the study of drug safety and efficacy. DL usually consists of multiple layers of neural networks to mimic the cognitive behaviors associated with the human brain learning and problem-solving process to solve data intensive problems. Among many studies using AI/ML, DL has become a default algorithm to consider due to its superior performance. This proposal will apply DL to flag safety concerns regarding drug-induced liver injury (DILI) and carcinogenicity during the IND review process.",Initiation,,,Department of Health and Human Services,"NCTR/DBB-CDER/OCS collaboration on A SafetAI Initiative to Enhance IND Review Process: 
The development of animal-free models has been actively investigated and successfully demonstrated as an alternative to animal-based approaches for toxicity assessments.  Artificial Intelligence (AI) and Machine learning (ML) have been the central engine in this paradigm shift to identify safety biomarkers from non-animal assays or to predict safety outcomes solely based on chemical structure data. AI is a computer system or algorithm that has the ability to learn from existing data to foresee the future outcome. ML, a subset of AI, has been specifically studied to make predictions for adverse drug reactions. Deep Learning (DL) is arguably the most advanced approach in ML which frequently outperforms other types of ML approaches (or conventional ML approaches) for the study of drug safety and efficacy. DL usually consists of multiple layers of neural networks to mimic the cognitive behaviors associated with the human brain learning and problem-solving process to solve data intensive problems. Among many studies using AI/ML, DL has become a default algorithm to consider due to its superior performance. This proposal will apply DL to flag safety concerns regarding drug-induced liver injury (DILI) and carcinogenicity during the IND review process.","The NCTR/DBB-CDER/OCS collaboration is working on a project called A SafetAI Initiative to improve the IND review process. They are using artificial intelligence (AI) and machine learning (ML) to develop animal-free models for toxicity assessments and to predict safety outcomes based on chemical structure data. Specifically, they will be using deep learning (DL), which is a highly advanced form of ML, to identify safety concerns related to drug-induced liver injury (DILI) and carcinogenicity.","The NCTR/DBB-CDER/OCS collaboration is working on a project called A SafetAI Initiative to improve the IND review process. They are using artificial intelligence (AI) and machine learning (ML) to develop animal-free models for toxicity assessments and to predict safety outcomes based on chemical structure data. Specifically, they will be using deep learning (DL), which is a highly advanced form of ML, to identify safety concerns related to drug-induced liver injury (DILI) and carcinogenicity.","Yes, the project is potentially a safety risk. 

The project involves the development of animal-free models for toxicity assessments and prediction of safety outcomes based on chemical structure data using artificial intelligence (AI) and machine learning (ML). Although this project may have numerous benefits, there are potential safety risks associated with it.

One of the safety risks mentioned in the provided definition is the ""transport, safety, design, or development of hazardous chemicals or biological entities or pathways."" In this project, the use of AI and ML to predict safety outcomes based on chemical structure data implies that there may be involvement with hazardous chemicals. If these chemicals are not handled properly or if there are errors in the prediction models, it could lead to potential safety risks.

Additionally, the project involves the use of deep learning (DL), which is a highly advanced form of ML. Deep learning algorithms are complex and can be prone to making errors or biases in their predictions. In the context of safety assessments for drug-induced liver injury (DILI) and carcinogenicity, inaccurate or biased predictions could lead to harmful or unsafe drugs being approved, posing a safety risk to patients.

Therefore, considering the potential involvement with hazardous chemicals and the risks associated with the complexity of deep learning algorithms, the project is potentially a safety risk.",,False,True
HHS-0075-2023,HHS,FDA,CDER/Office of Surveillance and Epidemiology (OSE),Information Visualization Platform (InfoViP) to support analysis of individual case safety reports,"Developed the Information Visualization Platform (InfoViP) for post market safety surveillance, to improve the efficiency and scientific rigor of Individual Case Study Reports (ICSRs) review and evaluation process. InfoViP incorporates artificial intelligence and advanced visualizations to detect duplicate ICSRs, create temporal data visualization, and classify ICSRs for useability. ",Development and Acquisition,,,Department of Health and Human Services,"Information Visualization Platform (InfoViP) to support analysis of individual case safety reports: 
Developed the Information Visualization Platform (InfoViP) for post market safety surveillance, to improve the efficiency and scientific rigor of Individual Case Study Reports (ICSRs) review and evaluation process. InfoViP incorporates artificial intelligence and advanced visualizations to detect duplicate ICSRs, create temporal data visualization, and classify ICSRs for useability. ","The Information Visualization Platform (InfoViP) has been created to enhance the analysis of individual case safety reports (ICSRs). InfoViP utilizes artificial intelligence and advanced visualizations to identify duplicate ICSRs, generate temporal data visualizations, and categorize ICSRs for improved usability, thereby streamlining the review and evaluation process.","The Information Visualization Platform (InfoViP) has been created to enhance the analysis of individual case safety reports (ICSRs). InfoViP utilizes artificial intelligence and advanced visualizations to identify duplicate ICSRs, generate temporal data visualizations, and categorize ICSRs for improved usability, thereby streamlining the review and evaluation process.",,"Yes, the project is potentially a safety risk. 

The project involves the use of artificial intelligence and advanced visualizations to analyze individual case safety reports (ICSRs). These reports likely contain sensitive and confidential information related to safety incidents, adverse events, and potential risks associated with medical devices, clinical diagnosis, and treatments.

If the project fails to properly handle and protect this sensitive information, it could lead to privacy breaches, unauthorized access to personal medical data, and potential harm to individuals. Additionally, if the artificial intelligence algorithms used in the project are not accurately identifying duplicate ICSRs or categorizing them correctly, it could result in incorrect evaluations and recommendations, potentially compromising patient safety.

Therefore, due to the nature of the information being analyzed and the potential consequences of errors or breaches, the project presents a safety risk.",True,False
HHS-0021-2023,HHS,ASPR,"Office of Information Management, Data, and Analytics/ODA",Highly Infectious Patient Movement optimization,"Given a limited number of highly infectious patient transport containers, optimize US location based on various factors like distance, population, etc. Use as a planning tool for decision-making.",Initiation,,,Department of Health and Human Services,"Highly Infectious Patient Movement optimization: 
Given a limited number of highly infectious patient transport containers, optimize US location based on various factors like distance, population, etc. Use as a planning tool for decision-making.",The goal is to optimize the location of highly infectious patient transport containers in the US by considering factors such as distance and population. This planning tool will help in making informed decisions regarding the movement of these patients.,The goal is to optimize the location of highly infectious patient transport containers in the US by considering factors such as distance and population. This planning tool will help in making informed decisions regarding the movement of these patients.,"Yes, the project is potentially a safety risk. 

The project involves the transport of highly infectious patients, which falls under the category of ""physical movements"" in a medical setting. This type of movement carries the risk of spreading infectious diseases and potentially endangering the health and safety of individuals involved in the transportation process. 

While the goal of optimizing the location of patient transport containers is important for efficient and effective healthcare response, it also involves the risk of mishandling or improper containment of infectious materials. If the containers are not properly designed, constructed, or managed, there is a potential for the release of hazardous biological agents and the spread of diseases.

Therefore, the project needs to consider and implement appropriate safety measures, such as secure containment, proper training of personnel, adherence to strict protocols, and the use of appropriate protective equipment, to mitigate the potential risks associated with transporting highly infectious patients.",,False,True
DOC-0027-2023,DOC,National Oceanic and Atmospheric Administration (NOAA),,Automated detection of hazardous low clouds in support of safe and efficient transportation,"This is a maintenance and sustainment project for the operational GOES-R fog/low stratus 
(FLS) products. The FLS products are derived from the combination of GOES-R satellite 
imagery and NWP data using machine learning. The FLS products, which are available in 
AWIPS, are routinely used by the NWS Aviation Weather Center and Weather Forecast 
Offices.",,,,Department of Commerce,"Automated detection of hazardous low clouds in support of safe and efficient transportation: 
This is a maintenance and sustainment project for the operational GOES-R fog/low stratus 
(FLS) products. The FLS products are derived from the combination of GOES-R satellite 
imagery and NWP data using machine learning. The FLS products, which are available in 
AWIPS, are routinely used by the NWS Aviation Weather Center and Weather Forecast 
Offices.",This project aims to maintain and improve the automated detection of dangerous low clouds to ensure safe and efficient transportation. It involves using machine learning to combine satellite imagery and NWP data to create FLS products that are regularly used by NWS Aviation Weather Center and Weather Forecast Offices.,This project aims to maintain and improve the automated detection of dangerous low clouds to ensure safe and efficient transportation. It involves using machine learning to combine satellite imagery and NWP data to create FLS products that are regularly used by NWS Aviation Weather Center and Weather Forecast Offices.,"Yes, this project is potentially a safety risk. According to the defined risks, it falls under category (b) as it involves the physical movement within a transportation setting. The automated detection of dangerous low clouds is crucial for ensuring safe transportation, especially in the aviation industry. If the system fails to accurately detect these clouds or if there are errors in the machine learning algorithms, it could lead to potential accidents or hazards for aircraft and passengers. Therefore, there is a potential safety risk associated with this project.",,False,True
NASA-0021-2023,NASA,Langley Research Center,,Pedestrian Safety Corridors for Drone Test Range,"NASA Langley Research Center (LaRC) is actively experimenting with Unmanned Aerial Systems (UAS - Drones and
surrounding systems) to include command, control, coordination and safety mechanisms. LaRC is expanding an on-
site UAS test range, to include areas where people walk, drive, etc. This project leverages the parking advisor image
recognition project and applies it to detecting pedestrian traffic to supplement statistical assessment of human-
heavy and human lite traffic areas with near-real time human-presence-detection. Inputs include camera signals
and hand labelled training data. Outputs include maps indicating density of human pedestrian traffic. The results
have been embedded into the GRASP flight risk simulation tool.",In-use,,https://gitlab.grc.nasa.gov/dmtrent/wahldo-1,National Aeronautics and Space Administration,"Pedestrian Safety Corridors for Drone Test Range: 
NASA Langley Research Center (LaRC) is actively experimenting with Unmanned Aerial Systems (UAS - Drones and
surrounding systems) to include command, control, coordination and safety mechanisms. LaRC is expanding an on-
site UAS test range, to include areas where people walk, drive, etc. This project leverages the parking advisor image
recognition project and applies it to detecting pedestrian traffic to supplement statistical assessment of human-
heavy and human lite traffic areas with near-real time human-presence-detection. Inputs include camera signals
and hand labelled training data. Outputs include maps indicating density of human pedestrian traffic. The results
have been embedded into the GRASP flight risk simulation tool.","The NASA Langley Research Center is conducting experiments with drones and their safety mechanisms. They are expanding their test range to include areas where people walk and drive, and are using image recognition technology to detect pedestrian traffic in real time. The data collected is used to create maps showing the density of human pedestrian traffic, which is then integrated into the GRASP flight risk simulation tool.","The NASA Langley Research Center is conducting experiments with drones and their safety mechanisms. They are expanding their test range to include areas where people walk and drive, and are using image recognition technology to detect pedestrian traffic in real time. The data collected is used to create maps showing the density of human pedestrian traffic, which is then integrated into the GRASP flight risk simulation tool.","Yes, the project described above is potentially a safety risk. 

The project involves the use of drones in areas where people walk and drive, which presents a potential risk of collisions and accidents. Additionally, the use of image recognition technology to detect pedestrian traffic in real time may have limitations and could result in errors or false detections, leading to unsafe situations. 

Furthermore, the integration of the collected data into the GRASP flight risk simulation tool implies that the drones will be flying in areas with human pedestrian traffic. This raises concerns about the potential for accidents or injuries if the drones malfunction or lose control.

Overall, the project involves the movement of drones in areas with human activity and relies on technology that may have limitations, increasing the potential safety risks.",,False,True
DOE-0030-2023,DOE,National Energy Technology Laboratory,,Advanced model to forecast offshore landslide risks and marine geohazards,"This research will use data and models from the Offshore Risk Modeling 
(ORM) with intelligent databases, artificial intelligence (AI)/ML, big data, 
and other advanced computing technologies to address offshore 
subsurface natural-engineered system challenges, such as 
characterization and mapping of geologic hazards, safe operations, 
equipment reliability, and environmental assessments.",,"Big Data, Natural Language Processing, Other",,Department of Energy,"Advanced model to forecast offshore landslide risks and marine geohazards: 
This research will use data and models from the Offshore Risk Modeling 
(ORM) with intelligent databases, artificial intelligence (AI)/ML, big data, 
and other advanced computing technologies to address offshore 
subsurface natural-engineered system challenges, such as 
characterization and mapping of geologic hazards, safe operations, 
equipment reliability, and environmental assessments.","The research aims to develop an advanced model that can accurately predict offshore landslide risks and other marine geohazards. This will be achieved by utilizing intelligent databases, artificial intelligence, big data, and other advanced computing technologies to address various challenges related to subsurface natural-engineered systems in offshore environments.","The research aims to develop an advanced model that can accurately predict offshore landslide risks and other marine geohazards. This will be achieved by utilizing intelligent databases, artificial intelligence, big data, and other advanced computing technologies to address various challenges related to subsurface natural-engineered systems in offshore environments.","Yes, this project potentially poses a safety risk. The project involves the research and development of an advanced model to predict offshore landslide risks and other marine geohazards. These geohazards can have significant safety implications for activities such as offshore drilling, construction of offshore structures, and navigation of vessels in the affected areas. Failure to accurately predict and mitigate these risks could lead to accidents, injuries, or even loss of life. Therefore, the project falls under the category of ""The design, construction, or testing of industrial equipment, systems, or structures that, if they failed, would pose a meaningful risk to safety"" (risk category h).",,False,True
DOE-0099-2023,DOE,National Energy Technology Laboratory,,To develop artificial intelligence- enabled tools (ArtIT) for cyber hardening of power grids.,"To develop a novel resiliency framework for power grids by integrating 
different theories, such as closed-loop controls, security, agility, formal 
reasoning and synthesis, machine learning, and laboratory setup 
demonstration. The framework will provide enhanced resiliency to wide-
area control operations in cyberattacks.",,Artificial Intelligence Unknown,,Department of Energy,"To develop artificial intelligence- enabled tools (ArtIT) for cyber hardening of power grids.: 
To develop a novel resiliency framework for power grids by integrating 
different theories, such as closed-loop controls, security, agility, formal 
reasoning and synthesis, machine learning, and laboratory setup 
demonstration. The framework will provide enhanced resiliency to wide-
area control operations in cyberattacks.","The goal is to create artificial intelligence tools that can strengthen power grids against cyberattacks. This will be achieved by combining various theories and technologies, such as closed-loop controls, security measures, machine learning, and laboratory demonstrations, to develop a resilient framework for wide-area control operations.","The goal is to create artificial intelligence tools that can strengthen power grids against cyberattacks. This will be achieved by combining various theories and technologies, such as closed-loop controls, security measures, machine learning, and laboratory demonstrations, to develop a resilient framework for wide-area control operations.","Yes, the project described above is potentially a safety risk. This is because it involves the functioning of electrical grids, which falls under the category of safety risks mentioned in the definition. The project aims to strengthen power grids against cyberattacks, and any failure in the implementation or functioning of the artificial intelligence tools could potentially lead to disruptions or vulnerabilities in the power grid system.",,False,True
HHS-0072-2023,HHS,FDA,CDER/Office of Pharmaceutical Quality (OPQ),Centers of Excellence in Regulatory Science and Innovation (CERSI) project - Leveraging AI for improving remote interactions.,"This project aims to improve four major areas identified by FDA, including transcription, translation, document and evidence management, and co-working space. Automatic speech recognition has been widely used in many applications. Its cutting-edge technology is transformer-based sequence to sequence (seq2seq) model, which is trained to generate transcripts autoregressively and has been fine-tuned on certain datasets. Using pre-trained language models directly may not be suitable because they might not work properly with different accents and specialized regulatory and scientific terminologies. This is because the models were trained on a specific type of data and may not be able to handle data that is significantly different from what they were trained on. To address this, researchers plan to manually read a set of video/audio to obtain their true transcripts, upon which they fine-tune the model to make it adapt to this new domain. Machine translation converts a sequence of text from one language to another. Researchers usually use a method called ""seq2seq,"" where original text is codified into a language that a computer can understand. Then, we use this code to generate the translated version of the text. It's like a translator who listens to someone speak in one language and then repeats what they said in another language. Similarly, it is not appropriate to directly apply the existing pre-trained seq2seq models, because (a) some languages used in the FDA context might not exist in existing models. (b) domain specific terms used in FDA are very different from general human languages. To tackle these challenges, models are trained for some unusual languages and fine-tune pre-trained models for major languages. For both situations, researchers prepare high-quality training set labeled by experts. University of Maryland CERSI (M-CERSI) plans to build a system to manage different documents and evidence, by implementing three sub-systems: (a) document classifier, (b) video/audio classifier, and (c) an interactive middleware that connects the trained model at the backend and the input at the frontend. With this, all documents created during co-working can be shared and accessed by all participants.",Initiation,,,Department of Health and Human Services,"Centers of Excellence in Regulatory Science and Innovation (CERSI) project - Leveraging AI for improving remote interactions.: 
This project aims to improve four major areas identified by FDA, including transcription, translation, document and evidence management, and co-working space. Automatic speech recognition has been widely used in many applications. Its cutting-edge technology is transformer-based sequence to sequence (seq2seq) model, which is trained to generate transcripts autoregressively and has been fine-tuned on certain datasets. Using pre-trained language models directly may not be suitable because they might not work properly with different accents and specialized regulatory and scientific terminologies. This is because the models were trained on a specific type of data and may not be able to handle data that is significantly different from what they were trained on. To address this, researchers plan to manually read a set of video/audio to obtain their true transcripts, upon which they fine-tune the model to make it adapt to this new domain. Machine translation converts a sequence of text from one language to another. Researchers usually use a method called ""seq2seq,"" where original text is codified into a language that a computer can understand. Then, we use this code to generate the translated version of the text. It's like a translator who listens to someone speak in one language and then repeats what they said in another language. Similarly, it is not appropriate to directly apply the existing pre-trained seq2seq models, because (a) some languages used in the FDA context might not exist in existing models. (b) domain specific terms used in FDA are very different from general human languages. To tackle these challenges, models are trained for some unusual languages and fine-tune pre-trained models for major languages. For both situations, researchers prepare high-quality training set labeled by experts. University of Maryland CERSI (M-CERSI) plans to build a system to manage different documents and evidence, by implementing three sub-systems: (a) document classifier, (b) video/audio classifier, and (c) an interactive middleware that connects the trained model at the backend and the input at the frontend. With this, all documents created during co-working can be shared and accessed by all participants.","The Centers of Excellence in Regulatory Science and Innovation (CERSI) project aims to improve transcription, translation, document and evidence management, and co-working space in the FDA. They plan to use transformer-based sequence to sequence (seq2seq) models for automatic speech recognition and machine translation. To ensure accuracy and adaptability, the models will be manually trained and fine-tuned on specific datasets, including those with different accents and specialized regulatory and scientific terminologies. Additionally, the project includes the implementation of a system to manage documents and evidence, allowing for easy sharing and access among participants.","The Centers of Excellence in Regulatory Science and Innovation (CERSI) project aims to improve transcription, translation, document and evidence management, and co-working space in the FDA. They plan to use transformer-based sequence to sequence (seq2seq) models for automatic speech recognition and machine translation. To ensure accuracy and adaptability, the models will be manually trained and fine-tuned on specific datasets, including those with different accents and specialized regulatory and scientific terminologies. Additionally, the project includes the implementation of a system to manage documents and evidence, allowing for easy sharing and access among participants.",,"Yes, the project described potentially poses safety risks. 

The project involves the use of transformer-based sequence to sequence (seq2seq) models for automatic speech recognition and machine translation. While this technology can be beneficial in improving transcription and translation, it also raises concerns regarding the potential for bias, misinformation, or misinterpretation of speech and documents. If the models are not properly trained and fine-tuned, they may produce inaccurate or misleading results, which could have serious consequences in regulatory science and innovation.

Furthermore, the implementation of a system to manage documents and evidence raises security and privacy concerns. If not adequately protected, sensitive information and data could be exposed or manipulated, compromising the integrity and security of the regulatory processes.

Therefore, the project has the potential to be a safety risk and should be carefully monitored and managed to mitigate any potential harm or adverse effects.",True,False
DOT-0006-2023,DOT,Aviation Safety (AVS),,Course Deviation Identification for Multiple Airport Route Separation (MARS),"The Multiple Airport Route Separation (MARS) program is developing a safety case for reduced separation standards between Performance Based Navigation (PBN) routes in terminal airspace. These new standards may enable deconfliction of airports in high-demand metropolitan areas, including the Northeast Corridor (NEC), North Texas, and Southern California. To build necessary collision risk models for the safety case, several models are needed, including one that describes the behavior of aircraft that fail to navigate the procedure correctly. These events are very rare and difficult to identify with standard data sources. Prior work has used Machine Learning to filter incident data to identify similar events on departure procedures.",,"Python in Jupyter Labs, ML, NLP",,Department of Transportation,"Course Deviation Identification for Multiple Airport Route Separation (MARS): 
The Multiple Airport Route Separation (MARS) program is developing a safety case for reduced separation standards between Performance Based Navigation (PBN) routes in terminal airspace. These new standards may enable deconfliction of airports in high-demand metropolitan areas, including the Northeast Corridor (NEC), North Texas, and Southern California. To build necessary collision risk models for the safety case, several models are needed, including one that describes the behavior of aircraft that fail to navigate the procedure correctly. These events are very rare and difficult to identify with standard data sources. Prior work has used Machine Learning to filter incident data to identify similar events on departure procedures.","The MARS program aims to establish reduced separation standards between PBN routes in terminal airspace, potentially allowing for more airports in busy metropolitan areas. To build a safety case, collision risk models are needed, including one that analyzes the behavior of aircraft that deviate from the correct navigation procedure. Previous research has utilized Machine Learning to identify similar events during departure procedures by filtering incident data.","The MARS program aims to establish reduced separation standards between PBN routes in terminal airspace, potentially allowing for more airports in busy metropolitan areas. To build a safety case, collision risk models are needed, including one that analyzes the behavior of aircraft that deviate from the correct navigation procedure. Previous research has utilized Machine Learning to identify similar events during departure procedures by filtering incident data.","Yes, the project described potentially poses a safety risk. 

The project involves the establishment of reduced separation standards between PBN (Performance-Based Navigation) routes in terminal airspace, which could lead to more airports in busy metropolitan areas. The use of Machine Learning to analyze the behavior of aircraft that deviate from the correct navigation procedure is also mentioned.

Given the safety risks defined, this project falls under the category of ""The movements of vehicles, whether on land, underground, at sea, in the air, or in space."" Any changes in the separation standards between aircraft in terminal airspace can potentially increase the risk of collisions or accidents.

To mitigate this risk, the project mentions the need for collision risk models and analyzing the behavior of aircraft deviating from the correct procedure. However, without proper testing, simulation, and evaluation, implementing reduced separation standards without comprehensive safety measures could pose a meaningful risk to safety.

Therefore, this project is potentially a safety risk and requires careful consideration and evaluation of the proposed changes to ensure the safe operation of aircraft in terminal airspace.",,False,True
DOE-0106-2023,DOE,National Energy Technology Laboratory,,To drive insights on pipeline maintenance and repair strategies to reduce incidents of pipeline leakage; support evaluation of use and reuse strategies,"ML will be used to develop a pipeline risk assessment geospatial model 
and support evaluation of use and reuse opportunities.",,"Big Data, Other",,Department of Energy,"To drive insights on pipeline maintenance and repair strategies to reduce incidents of pipeline leakage; support evaluation of use and reuse strategies: 
ML will be used to develop a pipeline risk assessment geospatial model 
and support evaluation of use and reuse opportunities.","A geospatial model powered by machine learning will be developed to assess the risks associated with pipeline maintenance and repair, aiming to minimize incidents of leakage. Additionally, the model will aid in evaluating the potential for using and reusing pipelines as part of sustainability strategies.","A geospatial model powered by machine learning will be developed to assess the risks associated with pipeline maintenance and repair, aiming to minimize incidents of leakage. Additionally, the model will aid in evaluating the potential for using and reusing pipelines as part of sustainability strategies.","Yes, the project is potentially a safety risk. 

The project involves the design, construction, and testing of a geospatial model powered by machine learning to assess the risks associated with pipeline maintenance and repair. If this model fails or provides inaccurate assessments, it could pose a meaningful risk to safety. Pipeline leakage can have severe consequences, including environmental damage, health risks, and even explosions in some cases. Therefore, the project's failure to accurately assess these risks could lead to incidents of leakage and potential safety hazards.

Furthermore, the project aims to evaluate the potential for using and reusing pipelines as part of sustainability strategies. The transportation or management of industrial waste or other controlled pollutants, such as pipeline contents, is listed as a safety risk. If the project does not adequately address the transportation and management of hazardous substances within the pipelines, it could lead to safety hazards and environmental impacts.

Overall, the project's involvement in the design, construction, and testing of industrial equipment (geospatial model) and the transportation and management of industrial waste (pipeline contents) make it potentially a safety risk.",,False,True
HHS-0108-2023,HHS,NIH,National Institutes of Health (NIH) CC,individual Functional Activity Composite Tool (inFACT),inFACT is being developed for use in the Social Security Administration (SSA) disability determination process to assist adjudicators in identifying evidence on function from case records that might be hundreds or thousands of pages long. inFACT displays information on whole person function as extracted from an individual's free text medical records and aligned with key business elements.,Development and Acquisition,,,Department of Health and Human Services,"individual Functional Activity Composite Tool (inFACT): 
inFACT is being developed for use in the Social Security Administration (SSA) disability determination process to assist adjudicators in identifying evidence on function from case records that might be hundreds or thousands of pages long. inFACT displays information on whole person function as extracted from an individual's free text medical records and aligned with key business elements.","The individual Functional Activity Composite Tool (inFACT) is being created to help Social Security Administration adjudicators review extensive case records and find evidence on an individual's functional abilities. inFACT presents a summary of a person's overall functioning, extracted from their medical records and linked to important business factors.","The individual Functional Activity Composite Tool (inFACT) is being created to help Social Security Administration adjudicators review extensive case records and find evidence on an individual's functional abilities. inFACT presents a summary of a person's overall functioning, extracted from their medical records and linked to important business factors.",,"Yes, the project described above is potentially a safety risk. 

The project involves the creation of the individual Functional Activity Composite Tool (inFACT), which aims to assist Social Security Administration adjudicators in reviewing extensive case records and finding evidence on an individual's functional abilities. While the specific details of the project's implementation are not provided, it falls under the category of determining eligibility for government benefits or services, as mentioned in the defined risks.

This can be considered a safety risk because the use of inFACT could potentially impact individuals' access to government benefits or services. The tool's ability to extract information from medical records and link it to important business factors raises concerns about privacy, data security, and the potential for biased decision-making. If the tool fails to accurately assess an individual's functional abilities or if it is used inappropriately, it could result in unfair denial of benefits or services.",True,False
