Use_Case_ID,Benefit Programs,Diplomacy and Trade,"Finance, Economy",Education and Workforce,Emergency Management,Energy,Environment and Natural Resources,General Admin,Grants,Health and Medical,Law and Justice,Science and Technology,Space,Transportation,Veteran Care and Services,Zoological,Mission-enabling,total_categories,Department_Code,Title
DOI-0020-2023,,,,,"The theme ""Emergency Management"" is relevant in the text above. The text discusses building capacity for assessing and predicting post-wildfire water availability, which is a crucial aspect of emergency management. It mentions collecting and analyzing datasets, developing standardized plans and rapid response strategies, and integrating predictive approaches for post-fire hazards, all of which are elements of emergency management.",,"The theme ""Environment and Natural Resources"" is relevant in the text. The text discusses the objective of assessing and predicting post-wildfire water availability in the western US. This involves collecting and analyzing datasets, which relates to water resource management and research. Additionally, the objective of establishing the state of the science on water quality impairment is relevant to the theme of water resource management. Therefore, the theme is relevant in the text as it pertains to managing and understanding the impact of wildfires on water resources.",,,,,"The theme of ""Science and Technology"" is relevant in the text. The objectives mentioned in the text involve collecting and analyzing datasets, developing standardized plans and rapid response strategies, cataloging measurement methods and data needs, and integrating predictive approaches. These activities require the use of various scientific and technological disciplines such as computer science, mathematics and statistics, remote sensing, mapping, materials science, physics and engineering, and earth science.",,,,,,0.0,DOI,WRA.HIHR.WAIEE Building capacity for assessment and prediction of post-wildfire water availability
HHS-0111-2023,,,,,,,,,"The theme ""Grants"" is relevant in the text above. The text discusses a tool that uses natural language processing and machine learning to analyze grant applications. This tool helps determine if the applications incorporate Implementation Science, and the resulting score is used by NHLBI to assign applications to specific divisions for grants management oversight and administration.","The theme of ""Research"" is relevant in the text because it mentions the development of a tool that utilizes natural language processing and machine learning to analyze grant applications. This tool is used to determine if the applications incorporate Implementation Science, which involves conducting research to improve the adoption and integration of evidence-based interventions into healthcare practice. Therefore, the text demonstrates the relevance of research in the field of grant management and administration.",,"The theme of Science and Technology is relevant in the given text. The text mentions the development of a tool that utilizes natural language processing and machine learning to analyze grant applications. This tool incorporates various scientific and technological concepts such as computer science, mathematics and statistics, and artificial intelligence (machine learning). It also mentions the use of Implementation Science (a scientific approach) and the utilization of the tool by NHLBI (National Heart, Lung, and Blood Institute) for grants management oversight and administration. Therefore, the text aligns with the theme of Science and Technology.",,,,,"The theme ""Mission-enabling"" is relevant in the text above because it mentions ""grants management oversight and administration."" This falls under the category of Administrative, which is one of the examples given under the theme. The tool developed for analyzing grant applications and assigning them to specific divisions for grants management aligns with the administrative aspect of the mission-enabling theme.",0.0,HHS,Detection of Implementation Science focus within incoming grant applications
HHS-0039-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the text because it discusses the development of an internal interactive dashboard that utilizes various datasets and a machine learning system to predict suicide death trends. This system is aimed at providing timely information about suicide rates, which falls under the category of public health. By analyzing data and trends related to suicide rates, this system can potentially help identify patterns and develop strategies for preventing suicide and promoting mental health.",,,,,,,,0.0,HHS,Nowcasting Suicide Trends
USDA-0014-2023,,,,,,,,,,,,,,,,,,0.0,USDA,Retailer Receipt Analysis
HHS-0067-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text. The text talks about the development of two approaches to population pharmacokinetic model selection. Pharmacokinetic models are used in healthcare to understand how drugs are absorbed, distributed, metabolized, and eliminated by the body. Therefore, the text is discussing research and data related to healthcare and medicines. The development of these approaches aims to improve model-based bioequivalence analysis, which is important for ensuring the safety and effectiveness of drugs. Hence, the text is relevant to the theme.",,"The theme ""Science and Technology"" is relevant in the text. The text mentions the use of deep learning/reinforcement learning and genetic algorithm, which are both examples of computer science and technology. Additionally, the text talks about improving model-based bioequivalence analysis, which falls under the field of biology.",,,,,,0.0,HHS,Development of Machine Learning Approaches to Population Pharmacokinetic Model Selection and Evaluation of Application to Model-Based Bioequivalence Analysis
USDA-0038-2023,,,,,,,,,,,,,,,,,,0.0,USDA,Video Surveillance System
USDA-0035-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the given text because it mentions the use of natural language processing (NLP) model. NLP is a field of study within computer science and artificial intelligence that focuses on the interaction between computers and human language. The model mentioned in the text utilizes NLP to analyze procurement descriptions, which falls under the domain of computer science and technology. Therefore, the text is relevant to the theme ""Science and Technology"".",,,,,"The theme ""Mission-enabling"" is relevant in the text above because it mentions the Acquisition Approval Request (AAR) Compliance Tool. The tool helps in the acquisition and finance process by analyzing procurement descriptions and determining the likelihood of an award being IT-related and requiring an AAR. This aligns with the theme as it supports the mission by enabling efficient and effective acquisition processes.",0.0,USDA,Acquisition Approval Request Compliance Tool
DOE-0037-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text because it involves the use of computational methods, computer science, and materials science. The researchers are using computational methods to analyze databases of metal-organic frameworks (MOFs) and identify potential MOFs that are amine-functionalized. They also plan to develop software to add amine functional groups to the metal centers and/or ligands of MOFs. Additionally, they will calculate the reaction enthalpy for CO2 sorption in amine-functionalized MOFs and develop computational methods for characterizing CO2 chemisorption in these MOFs. Therefore, this text is relevant to the theme ""Science and Technology.",,,,,,0.0,DOE,Computational methods for the characterization of CO2 chemisorption in amine- functionalized MOFs.
DOS-0016-2023,,,,,,,,,,,,,,,,,,0.0,DOS,Global Audience Segmentation Framework
DOE-0146-2023,,,,,,,,,,,,"The theme of ""Science and Technology"" is relevant in the text because it mentions the use of machine learning (ML) to simplify and speed up the evaluation of reservoir dynamics and processes. Machine learning falls under the field of computer science and involves the use of algorithms and statistical models to enable computers to learn and make predictions or decisions without being explicitly programmed. In this context, ML is being applied to reservoir dynamics and processes, which are relevant to the field of Earth Science. Additionally, the text mentions the use of ML for CO2 storage projects, which relates to the field of environmental science and the study of greenhouse gas emissions. Therefore, the theme of ""Science and Technology"" is relevant in this text.",,,,,,0.0,DOE,Use ML to reduce high-fidelity physical models to a fast calculation that requires minimal effort to initiate.
DOE-0151-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text above because it discusses the use of ML (Machine Learning) in designing gas sensing materials. ML is a field within Computer Science and Mathematics & Statistics that involves using algorithms and statistical models to enable computers to learn and make predictions or decisions without being explicitly programmed. In this case, ML is being used to create a comprehensive model for designing gas sensing materials, which falls under the domain of Materials Science. Additionally, the text mentions evaluating materials' performance under specific conditions and predicting temperature dependence of sensing properties, which can involve concepts from Physics & Engineering and Earth Science. Therefore, the theme ""Science and Technology"" is highly relevant in this text.",,,,,,0.0,DOE,Using ML to design sensing materials which can work under harsh environments.
DOL-0016-2023,,,"The theme ""Finance, Economy"" is relevant in the given text. The Bureau of Labor Statistics (BLS) mentioned in the text is responsible for collecting and analyzing data related to various economic aspects, including the cost of goods and services. In this case, BLS is using machine learning techniques such as logistic regression to classify and label the data they receive from corporations. This process of data analysis and classification is directly related to the theme of Finance and Economy, specifically in terms of statistics, oversight, and management of economic data.",,,,,,,,,,,,,,,0.0,DOL,Scanner Data Product Classification
HHS-0113-2023,,,,,,,,,"The theme ""Grants"" is relevant in the text because it discusses the use of a tool developed by the Division of Allergy, Immunology, and Transplantation (DAIT) to aid in AIDS-related research grant applications. The tool utilizes natural language processing, text extraction, and classification algorithms to predict the priority level and research area for grant applications, thereby assisting in the processing and awarding of grants. Additionally, the tool helps prioritize higher-ranked applications for review, further emphasizing the relevance of the theme ""Grants.","The theme ""Health and Medical"" is relevant in the text because it mentions the Division of Allergy, Immunology, and Transplantation (DAIT) developing a solution for AIDS-related research. This solution uses natural language processing, text extraction, and classification algorithms to predict the priority level and research area for grant applications. This demonstrates the use of research and data in the field of healthcare to prioritize and support AIDS-related research.",,"The theme ""Science and Technology"" is relevant in the text. Specifically, the text mentions the use of natural language processing, text extraction, and classification algorithms, which are examples of computer science and technology. These tools are used in the field of AIDS-related research to predict the priority level and research area for grant applications. Therefore, the theme of science and technology is directly applicable in this context.",,,,,,0.0,HHS,"Division of Allergy, Immunology, and Transplantation (DAIT) AIDS-Related Research Solution"
VA-0025-2023,,,,,,"The theme ""Energy"" is relevant in the text because it mentions partnerships with the Department of Energy as part of the VA-DoE Suicide Exemplar Project. This suggests that the project may involve the utilization of energy-related technologies, research, or resources to enhance the VA's capability in identifying veterans at risk of suicide.",,,,"The theme ""Health and Medical"" is relevant in the text because it mentions the VA-DoE Suicide Exemplar Project, which utilizes artificial intelligence to enhance the VA's capability to identify veterans at risk of suicide. This project falls under the healthcare category, as it aims to improve mental health by identifying individuals in need of support. Additionally, the project involves partnerships with the Department of Energy, highlighting the collaboration between different sectors to address public health concerns.",,"The theme of ""Science and Technology"" is relevant in the text because it mentions the use of artificial intelligence (AI) to enhance the VA's capability to identify veterans at risk of suicide. AI is a field within computer science that involves the development of intelligent machines capable of performing tasks that typically require human intelligence. Therefore, this text demonstrates the application of computer science and technology in the VA-DoE Suicide Exemplar Project.",,,"The theme ""Veteran Care and Services"" is relevant in the given text. The text describes the VA-DoE Suicide Exemplar Project, which aims to enhance the VA's capability to identify veterans who may be at risk of suicide. This initiative directly falls under the theme of Veteran Care and Services, as it focuses on providing better healthcare and support to veterans by utilizing artificial intelligence technology. Additionally, the project involves partnerships with the Department of Energy, which suggests that this collaboration could contribute to research in the field of veteran care and services.",,,0.0,VA,VA-DoE Suicide Exemplar Project
DOE-0100-2023,,,,,,"The theme ""Energy"" is relevant in the text above because the goal of creating accurate drag models for non-spherical particles using machine learning is directly related to the improvement of computational tools used in designing and optimizing fluidized beds and chemical looping reactors. These tools are essential in the field of energy, as they are used to enhance the efficiency and effectiveness of energy production processes. By developing a general drag model, the use of energy can be optimized, leading to more efficient and sustainable energy generation.",,,,,,"The theme ""Science and Technology"" is relevant in the given text. The text discusses the use of machine learning and deep neural networks to create accurate drag models for non-spherical particles in dense gas-solid flows. This involves the application of computer science and mathematics in developing computational tools for designing and optimizing fluidized beds and chemical looping reactors. The text also mentions the use of experimental and numerical datasets, which may involve remote sensing, mapping, and data analysis techniques. Therefore, the theme of Science and Technology is relevant in this context.",,,,,,0.0,DOE,To develop drag models for non- spherical particles through machine learning
DOE-0093-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the given text because it mentions the use of AI technology to enable a robot to inspect and identify defects in real-time. This involves computer science and potentially includes concepts from mathematics and statistics. The development of a platform that allows the robot to plan its own path and navigate safely also involves elements of computer science and engineering. Therefore, the text is relevant to the theme ""Science and Technology.",,,,,,0.0,DOE,To develop an AI-driven integrated autonomous robotic visual inspection (RVI) platform.
HHS-0155-2023,,,,,,,,,"The theme ""Grants"" is relevant in the text provided. The text mentions the ""Contracts and Grants Analytics Portal"" which is an AI-powered tool specifically designed to help HHS OIG staff access grants data effortlessly. The portal enables staff to find relevant audit findings, analyze trends, and compare data between different divisions, all of which are related to grants processing, awarding, and information. Therefore, the theme ""Grants"" is applicable in this context.","The theme ""Health and Medical"" is relevant in the text above. The Contracts and Grants Analytics Portal is specifically designed to assist HHS OIG staff in accessing grants data effortlessly. This implies that the portal is likely used in the healthcare sector to manage grants related to health and medical research, healthcare services, and potentially even nutrition and safety programs. The tool allows for the analysis of data and identification of patterns, which can be crucial in areas such as public health and international support. Therefore, the theme is relevant in this context.",,,,,,,"The theme ""Mission-enabling"" is relevant in the text because the Contracts and Grants Analytics Portal serves as a tool that enables HHS OIG staff to access grants data effortlessly. This falls under the ""Information and Communications Technology (ICT)"" aspect of the theme, as it provides a technology solution to support the mission of the organization.",0.0,HHS,Contracts and Grants Analytics Portal
HHS-0153-2023,,,,,,"The theme of ""Energy"" is relevant in the text because the Chiller Plant Optimization project is specifically focused on decreasing the amount of energy required to produce chilled water and cool the NIH campus. The project aims to improve overall sustainability by implementing efficiency measures, which directly relates to the theme of energy conservation.",,,,,,,,,,,,0.0,HHS,Chiller Plant Optimization
DOE-0126-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the given text as it discusses the use of ML models (Machine Learning) as substitutes for complex unit operations. ML models fall under the domain of Computer Science and utilize mathematical and statistical algorithms to analyze and make predictions from data. Additionally, the text mentions the goal of connecting different scales, which can involve remote sensing, mapping, and the use of advanced technologies such as Quantum computing. The mention of optimization within IDAES also relates to the field of Mathematics and Statistics. Therefore, the theme of ""Science and Technology"" is relevant in this text.",,,,,,0.0,DOE,To leverage ML models to increase the size and complexity of problems that can be optimized within IDAES.
VA-0011-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text. The text describes Behavidence, an app that assists veterans in monitoring their mental health. This falls under the category of healthcare and can be considered a form of medical support. The app utilizes research and data by comparing the phone usage patterns of the veterans to a digital phenotype of individuals who have already been diagnosed with mental health conditions. Thus, the theme is clearly present in the text.",,,,,"The theme ""Veteran Care and Services"" is relevant in the given text. The text describes an app called Behavidence that specifically targets veterans by helping them track their mental health. The app provides support and valuable insights by comparing their phone usage to a digital phenotype of individuals with confirmed mental health diagnoses. This demonstrates the relevance of the theme as it directly addresses the issue of mental healthcare for veterans.",,,0.0,VA,Behavidence
NASA-0005-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the text because it discusses the development and training of pre-trained microscopy image neural network Encoders. These encoders utilize techniques from computer science and artificial intelligence to analyze and process microscopy images of materials. The technology described in the text enables the rapid quantification of material microstructure from microscope images, which is a significant application of computer science and materials science. Therefore, the text is relevant to the theme.",,,,,,0.0,NASA,Pre-trained microscopy image neural network Encoders
HHS-0026-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text.

The text mentions scientists in the CDC's Data Science Upskilling Program who are developing a computer vision model. This falls under the category of Computer Science and involves the use of technology to extract sidewalk networks from street-level images. The scientists are using data science techniques to develop this model, which aligns with the theme of Science and Technology. Additionally, the mention of extracting valuable information about the presence of sidewalks in various locations indicates the application of technology in mapping and remote sensing.

Therefore, the theme of ""Science and Technology"" is relevant in the given text.",,"The theme ""Transportation"" is relevant in the given text because the scientists in the CDC's Data Science Upskilling Program are working on developing a computer vision model to extract sidewalk networks from street-level images. Sidewalks are an important part of transportation infrastructure, particularly for ground transportation. The model aims to provide valuable information about the presence of sidewalks in different locations, which can be crucial for improving and monitoring transportation infrastructure.",,,,0.0,HHS,Automating extraction of sidewalk networks from street-level images
HHS-0055-2023,,,,,,,,,,"The theme ""Health and Medical"" is relevant in the given text. The text mentions the Medicaid And CHIP Financial (MACFin) DSH Payment Forecasting model, which is used to predict future DSH payments. DSH payments are related to healthcare financing and reimbursement. The model was trained using time series and machine learning techniques, which are research methods commonly used in the health and medical field. The team had to clean and organize data from over 6 years for all states, which indicates the importance of data management and analysis in the healthcare sector. The forecasting provided by the model helps with early planning and recommendations related to trends and redistributions, which are important aspects of healthcare planning and policy. Therefore, the text is relevant to the theme ""Health and Medical.",,,,,,,,0.0,HHS,Medicaid And CHIP Financial (MACFin) DSH Payment Forecasting model
NASA-0013-2023,,,,,,,,,,,,"The theme of ""Science and Technology"" is relevant in the text because it discusses the challenges faced in transmitting and processing large amounts of science data from future space missions. It also mentions the use of ground-based tools and intelligent onboard processing concepts, which involve various algorithms for data analysis. This relates to the fields of computer science, mathematics and statistics, remote sensing, mapping, and potentially materials science and physics & engineering.","The theme ""Space"" is relevant in the text below because it discusses future space missions, spacecraft, and the challenges associated with transmitting and processing the large amounts of science data generated by these missions. It also mentions ground-based tools used to determine spacecraft's orbit and prioritize onboard-processing modes based on the type of terrain being overflown. Additionally, the text mentions the intelligent onboard processing concept of the HyspIRI mission, which includes algorithms for data analysis such as decision tree classifiers, SVM classifiers, and spectral band indices.",,,,,0.0,NASA,Hybrid On-Board and Ground-Based Processing of Massive Sensor Data (HyspIRI IPM)
DOE-0054-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the given text. The text mentions the use of machine learning in geophysical data inversion, which falls under the field of computer science and utilizes technology to analyze seismic and gravity data. It also mentions data-driven inversion techniques, which involve the use of technology and mathematical/statistical methods to detect leaks. Therefore, the text aligns with the theme by highlighting the application of computer science, mathematics, and data analysis techniques in the field of geophysics and leak detection.",,,,,,0.0,DOE,Machine Learning for geophysical data inversion
NASA-0006-2023,,,,,,,,,,,,"The theme ""Science and Technology"" is relevant in the text. The text mentions several examples of science and technology such as AI design, biomimicry research and development, integration of various tools and methodologies, curated data for predictive solutions, text summarization, and named entity recognition tasks using large language models. These examples highlight the use of computer science, biology, mathematics, and technology in the development and application of the PeTaL AI design tool.",,,,,,0.0,NASA,Application that provides bio-inspired solutions to engineering problems (PeTaL)
DOC-0047-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the given text. The Enriched Citation system is a data dissemination system that utilizes computer science and technology to identify the references cited in patent office actions. It extracts detailed information from unstructured office actions using algorithms and offers it through a structured public API, which involves computer science and programming. Therefore, this text is relevant to the theme of Science and Technology, specifically in the field of computer science and data analysis.",,,,,,0.0,DOC,Enriched Citation
USDA-0000-2023,,,,,,,"The theme ""Environment and Natural Resources"" is relevant in the text because it discusses the use of machine learning algorithms to detect invasive or quarantine significant pest species at the port of entry. This topic falls under the category of ""General Ecology"" as it involves the study and understanding of how pests can impact the environment and natural resources. Additionally, it can also be related to ""Agriculture"" as invasive pests can have detrimental effects on crops and agricultural practices.",,,,,"The theme of ""Science and Technology"" is relevant in the text because it mentions the use of machine learning algorithms. Machine learning is a field within computer science and involves the application of statistical techniques to enable computers to learn and make predictions or decisions without being explicitly programmed. In this case, machine learning algorithms are utilized to create predictive models for detecting invasive or quarantine significant pest species at the port of entry. This application of computer science and statistical analysis helps to enhance the accuracy of pest detection and improve the prediction ability of identifying such pests.",,,,,,0.0,USDA,Predictive modeling of invasive pest species and category at the port of entry using machine learning algorithms
DOE-0095-2023,,,,,,,"The theme ""Environment and Natural Resources"" is relevant in the text. The text mentions the need to monitor coal waste storage facilities, which directly relates to the management of natural resources and environmental concerns. The objective of using artificial intelligence and sensors to detect potential hazards demonstrates the focus on environmental protection and preventing damage to the surrounding environment.",,,,,,,"The theme ""Transportation"" is relevant in the text above because it mentions the development of a drone for inspection purposes. Drones are a type of unmanned aircraft and fall under the category of transportation. The text also discusses the use of artificial intelligence and sensors, which can be considered as infrastructure monitoring and improvement. Therefore, the theme ""Transportation"" is relevant in this text.",,,,0.0,DOE,To develop and create an autonomous robotic inspection system.
USDA-0033-2023,,,,,,,,,,,,"The theme of Science and Technology is relevant in the given text. The text mentions the utilization of neural networks and AI technologies, which are examples of computer science and advanced technologies. It further explains how these technologies are used to identify no-changes in digital imagery, which falls under the field of remote sensing and mapping. Therefore, the theme of Science and Technology is directly applicable to the text.",,,,,,0.0,USDA,Digital Imagery (no-change) for NRI program
DOL-0004-2023,,,,,,,,,,,,,,,,,,0.0,DOL,Claims Document Processing
DOI-0000-2023,,,,,,,"The theme ""Environment and Natural Resources"" is relevant in the given text. The text discusses the Land Use Plan Document and Data Mining and Analysis R&D, which focuses on uncovering patterns and conflicts in planning documents related to resource management. This research aims to identify conflicts and map them, which would allow for the exclusion, restriction, or stipulation of proposed action locations as defined in the planning documents. This directly relates to the management and utilization of natural resources and the environment.",,,,,,,,,,,0.0,DOI,Land Use Plan Document and Data Mining and Analysis R&D
