Title,Agency,Summary,Development Stage,Techniques,Source Code
WRA.NWC.IWAA National Extent Hydrogeologic Framework for NWC,USGS,"The primary objectives of this project are to (1) provide Nationally consistent predictions of groundwater quality (salinity and nutrients) relevant for human and ecological uses and its influence on surface-water, and (2) develop strategies for integrating these predictions into comprehensive water-availability assessments including the National Water Census and regional Integrated Water Availability Assessments. These primary objectives are organized by task as follows:
Task 1: Groundwater-Quality Prediction – salinity
· Provide accurate and reliable predictions of groundwater salinity at appropriate resolutions to document groundwater availability for human and ecological uses.
Task 2: Groundwater-Quality Prediction – nutrients
· Provide accurate and reliable predictions of nutrient concentrations in groundwater at appropriate resolutions to document groundwater availability for human and ecological uses.
Task 3: Incorporate Groundwater-Quality Predictions into Comprehensive Assessments of Water Availability
· Develop and refine strategies for coupling predictions of groundwater quality with groundwater flow and flux simulations from process-based models (e.g., GSFLOW, General Simulation Models) to quantify the amount of groundwater of a specified quality that is available and to better determine the affect of groundwater on surface-water quantity and quality.",Initiation,convolutional neural networks,
WRA.NWC.IWAA National-Extent Groundwater Quality Prediction for the National Water Census and Regional Integrated Water Availability Assessments,USGS,"The primary objectives of this project are to (1) provide Nationally consistent predictions of groundwater quality (salinity and nutrients) relevant for human and ecological uses and its influence on surface-water, and (2) develop strategies for integrating these predictions into comprehensive water-availability assessments including the National Water Census and regional Integrated Water Availability Assessments. ",Initiation,convolutional neural networks,
WRA.HIHR.WQP Process-guided Deep Learning for Predicting Dissolved Oxygen on Stream Networks,USGS,"The objective of this project is to build a model that predicts daily minimum, mean, and maximum stream DO levels on stream segments in the Lower Delaware River Basin using nationally available datasets.",Initiation,Random Forest Classification,
WRA.NWC.EF Economic Valuation of Ecosystem Services in the Delaware River Basin,USGS,"The objectives of this project are to:  _x000D_
_x000D_
Create a data and model inventory plan to evaluate existing data and models. _x000D_
_x000D_
Develop a database for the existing fish data. _x000D_
_x000D_
Develop Artificial Intelligence/Machine Learning (AI/ML) models to predict fish abundances and size under alternate future climates and reservoir operations. _x000D_
_x000D_
Develop models for economic valuation of the fishery resource. _x000D_
_x000D_
Evaluate the validity of estimated economic models against alternative approaches. _x000D_
_x000D_
Link models together to allow evaluation of tradeoffs between water use and the fisheries resource. _x000D_
_x000D_
Provide a prototype web application with re-usable components for internal USGS use that promotes understanding of the models and allows assessment of resource tradeoffs. _x000D_
_x000D_
 ",Initiation,"Random forest regression, random forest classification",
WRA.NWC.IWAA Model Application for the National IWAAs and NWC,USGS,"In support of both the periodic National Water Availability Assessment reports and the routinely updated National Water Census, the Model Application for the National IWAAs and NWC (MAPPNAT) project will have four major objectives related to model application development: 1) Provide initial applications of models for the National IWAAs reports and the National Water Census, 2) Provide periodic long-term projections for the National IWAAs reports and the National Water Census, 3) Provide routine model updates of current or near-current conditions for the National IWAAs reports and the National Water Census, and 4) Provide operational short-term forecasts for the National Water Census. These four objectives will ultimately cover multiple hydrologic sub-disciplines—including water budgets, water use, water quality, aquatic ecosystems, and drought. Objective 1 will require a combination of on-project and off-project modeling activities to provide the needed model applications for National IWAAs and NWC version 1. Objectives 2, 3, and 4 will begin with strategic planning activities before implementation using the available model applications. As new models are developed, the staffing, organization, and approach for this project will be developed in an integrated manner that can accommodate multiple sub-disciplines and differing domain expertise. ",Initiation,"Random forest regression, random forest classification, random survival forests, neural networks, long-short term memory, recurrent neural networks",
WRA.WPID.IWP.PUMP Turbidity Forecasting,USGS,This project aims to advance the use of national hydrological forecast models for delivering water quality forecasts relevant to water resource managers. ,Initiation,Convolutional Neural Networks,
WRA.WPID.IWP.PUMP ExaSheds stream temperature projections with process-guided deep learning,USGS,"This 3-year project will improve PGDL stream temperature models by adding new forms of process guidance and merging techniques developed by USGS and DOE staff in past projects. Model assessments will emphasize robustness to projections in not-previously-seen conditions, such as those of future climates, paving the way for reliable projections into future decades in the Delaware River Basin.",Initiation,Convolutional Neural Networks,
Vegetation and Water Dynamics ,USGS,"Major activities include tracking vegetation phenology as a basic input for drought monitoring and for capturing the unique phenological signatures associated with irrigated agriculture and invasive species. Drought mapping and monitoring focus on two conterminous US wide operational tools, VegDRI and QuickDRI, to inform drought severity in a timely fashion. A targeted livestock forage assessment tool is tailored to quantify drought effects in terms of livestock forage deficits in kg/ha for specific producer decision makers. High latitude systems have high carbon stocks, particularly the numerous wetlands. Understanding spatiotemporal surface water dynamics will inform of permafrost degradation and probable methane emission hot spots. Vegetation phenology signatures improve land cover class separations and capture unique phenological signatures associated with invasive species like cheatgrass. Understanding remote sensing sensitivity of phenology tracking at various spatial resolutions and varying degrees of noise associated with mixed pixel effects of other vegetation, soils, and water improves accuracy and consistency of estimations of phenology as well as derivative products tailored for specific land manager use. The determination of irrigated and non-irrigated system provides useful geospatial data for water management and can serve to isolate ecological comparisons or contrasts to either irrigated or non-irrigated land management.",Initiation,Convolutional Neural Networks,
DOMESTIC WELL VULNERABILITY SES INDICATORS NEW HAMPSHIRE,USGS,"The goals of this work are to: (1) investigate homeowner-level statistical associations between datasets on private wells (geology and land use, construction, hydraulics, and chemistry) and SES (and SES proxy) data; (2) investigate statewide census block-group level statistical associations between datasets on private wells (geology and land use, construction, hydraulics, and probabilities of arsenic and uranium contamination) and demographic and SES (and SES proxy) data; (3) identify indicators or triggers of vulnerability to private well water availability and quality in New Hampshire; and (4) broadly disseminate information from this study to scientific and general audiences, as well as to targeted community groups. ",Initiation,Convolutional neural networks,
Two-Dimensional Detailed Hydraulic Analysis,USGS,"The USGS proposes to conduct analysis of detailed hydrology and develop a two-dimensional hydraulic model to assist in decision-making for the protection of life and property and local floodplain management and regulation. The following objectives are identified in the scope of this effort:_x000D_
Data objectives include:_x000D_
1.Topographic surveys in the study reaches to verify or augment existing topography usedin prior analyses._x000D_
a.Transportation routes_x000D_
b.Critical infrastructure_x000D_
c.Various landforms_x000D_
d.Non-structural flood mitigation recommendations at specific asset locations(USACE, 2019)_x000D_
Interpretive objectives include:_x000D_
1.Hydrologic analysis of the main stem of Joachim Creek (fig. 2) to produce discharge- frequency values for the 10%, 4%, 2%, 1%, and 0.2% regulatory flood flows._x000D_
2.Develop a calibrated two-dimensional hydraulic model inclusive of the following studyreaches for the newly developed regulatory flood flows identified in interpretiveobjective (1) above:_x000D_
a.Main stem 3.5-mile reach of Joachim Creek from a location above Highway Edownstream to cross-section AI (fig. 2). The study reach is aligned with theexisting regulatory FIS effective model and FIRM bounded upstream at a mid- point location between cross-section BC and BB and downstream at cross- section AI (fig. 3a, 3b)._x000D_
3.Two-dimensional model simulations of 10%, 4%, 2%, 1%, and 0.2% regulatory floodflows developed in interpretive objective (1) will produce flood profiles for the mainstem of Joachim Creek._x000D_
4.Development of two-dimensional model-derived flood maps for the main stem ofJoachim Creek, will be disseminated for the newly defined 1% and 0.2% regulatory floodflows in interpretive objective (1). Model-derived maps will illustrate inundationextents, water-surface elevation, depth, and velocity, including a published table ofcomparisons with the summarized list of spatially relevant nonstructural floodmitigation assets defined in the preliminary FMP by USACE (USACE, 2019).",Initiation,Doodler: https://github.com/dbuscombe-usgs/dash_doodler,https://github.com/dbuscombe-usgs/dash_doodler
GEMSC Geospatial Modernization and Machine Learning Integration ,USGS,"The USGS Director's office laid out a vision for the USGS for the next decade in the blog post “21st Century Science—Preparing for the Future”. A key component of this vision was outlined by stating “Over the next decade, we will take advantage of advances in sensor technologies, integrated modeling, artificial intelligence (AI), machine learning (ML), and high-performance computing to observe, understand, and project change across spatial and temporal scales in real-time and over the long term.” For GEMSC to play a role in this initiative, a multi-year project is proposed to integrate these technologies in GEMSC project workflows and data services. The overarching objective for this project is development of a strategic framework for integrating ERP science with traditional information technology related platforms.",Initiation,"Active learning, transfer learning, deep learing, convolutional neural networks (Fastern-RCNN, YOLOv5)",
21st Century Prospecting:  AI-assisted Surveying of Critical Mineral Potential (Reimbursable),USGS,"Based on the mandate to assess critical minerals distributions in the US, MRP has entered into a partnership between USGS and DARPA.  The objective of this partnership is to accelerate advances in science for understanding critical minerals, assessing unknown resources, and increase mineral security for the Nation. ",Initiation,Long short term memory (LSTM) models,
SWFL Habitat GIS Model,USGS,"Objective 1 – Update and maintain a seamless digital library of predicted flycatcher breeding habitat displayed (rendered) as binary or 5-class probability maps. This effort is ongoing. Landsat reimages the same location every 16 days. Currently, the digital library that is housed within ESRI’s AGOL library contains SWFL habitat maps from 2013 – 2022, spanning 57 Landsat scenes (see Hatten, 2016 for details) output by GEE._x000D_
Objective 2 – Update and maintain the SWFL Habitat Viewer so users can leverage and display the satellite model’s range-wide database and produce a habitat map for any stream reach in the flycatcher’s range. The web based (AGOL) application will allow one to query, _x000D_
display, and download flycatcher habitat maps from 2013 to present by leveraging a library of existing habitat maps generated with GEE, create a habitat time series for a given reach, produce a change detection map between two time periods, and produce metadata records based upon the scene’s date and digital footprint. The SWFL Habitat Viewer can also quantify or simulate beetle impacts to flycatcher habitat on a reach-by-reach basis, but simulations are dependent upon the availability of tamarisk maps.   _x000D_
 Objective 3 – Participate on regional workgroups, symposia, and conferences to inform potential and existing users about the SWFL Habitat Viewer. Currently, the RiversEdge West biannual conference and NAU’s biannual Colorado Plateau Research conference are the major outlets for presentations, but other regional conference candidates may be in Colorado, Nevada, New Mexico, or California._x000D_
Objective 4 - Collaborate in efforts to improve and extend the utility of the flycatcher satellite model by exploring cutting-edge modeling techniques (e.g., occupancy modeling, climate-wildlife modeling). For example, the flycatcher satellite model is being used to develop a regional database that contains patch attributes of SWFL habitat across the entire range of flycatchers. Such information is invaluable for exploring the relationships between patch occupancy and neighborhood characteristics (e.g., number of patches within a given radii, age of patches, distance between patches). The SWFL model is also being integrated into a regionwide project that focuses on linking interdisciplinary scientific data and models with artificial intelligence techniques, with a focus on hydrologic and ecological model integration in the Colorado River Basin, to better address drought and climate change.",Initiation,Bagged trees (aka random forest) classification,
Kaguya TC DTM Generation,USGS,"The primary goals for FY21 are to develop a processing pipeline for generating Kaguya TC DTMs, generate a test suite of 100 Kaguya TC DTMs using Ames Stereo Pipeline (ASP), and evaluate the resulting products.",Initiation,"extreme gradient boosted classification, stochastic gradient decent (LinearLearner®), multi-layer perceptron",
AI/ML for aquatic science,USGS,"This project aims to develop novel computational frameworks and AI algorithms for individual_x000D_
fish recognition, by leveraging AI, computer vision and deep learning. The main objectives of_x000D_
this project include:_x000D_
(1) Develop baseline AI models by exploiting visual features and pre-trained deep_x000D_
learning models._x000D_
(2) Improve individual fish recognition performance, as well as handling new individuals and_x000D_
exploring dynamic environments._x000D_
(3) Evaluate melanistic markings associated with “blotchy bass syndrome” to assess the_x000D_
capacity for AI detection of diseased fish._x000D_
(4) Evaluate deep learning models for individual recognition and respiration rate (ventilate_x000D_
rate) using video data collected in laboratory settings and natural streams.",Initiation,convolutional neural networks,
Improved Processing and Analysis of Test and Operating Data from Rotating Machines,BOR,"This project is exploring a better method to analyze DC ramp test data from rotating machines. Previous DC ramp test analysis requires engineering expertise to recognize characteristic curves from DC ramp test plots. DC ramp tests produce a plot of voltage vs current for a ramping voltage applied to a rotating machine. By using machine learning/AI tools, such as linear regression, the ramp test plots can be analyzed by computer software, rather than manual engineering analysis, to recognize characteristic curves. The anticipated result will be faster and more reliable analysis of field-performed DC ramp testing.",Investigating/Proof of concept,,
TMDL and Data Mining Investigations,USGS,"Apply data-mining techniques, include artificial neural network models, the hydrologic investigations.",Operation and Maintenance,"Deep convolutional neural networks; ResNet, MobileNet, UNet, RetinaNet",https://github.com/dbuscombe-usgs/MLMONDAYS
Land Use Plan Document and Data Mining and Analysis R&D,BLM,"Exploring the potential to identify patterns, rule alignment or conflicts, discovery, and mapping of geo history and/or rules. Inputs included unstructured planning documents. Outputs identify conflicts in resource management planning rules with proposed action locations requiring exclusion, restrictions, or stipluations as defined in the planning documents. ",Planned (not in production),Natural Language Processing and Geo Classification,
Improving UAS-derived photogrammetric data and analysis accuracy and confidence for high-resolution data sets using artificial intelligence and machine learning,BOR,"UAS derived photogrammetric products contain a large amount of potential information that can be less accurate than required for analysis and time consuming to analyze manually. By formulating a standard reference protocol and applying machine learning/artificial intelligence, this information will be unlocked to provide detailed analysis of Reclamation's assets for better informed decision making.",Proof-of-concept completed,,
Photogrammetric Data Set Crack Mapping Technology Search ,BOR,"This project is exploring a specific application of photogrammetric products to process analysis of crack mapping on Reclamation facilites.  This analysis is time consuming and has typically required rope access or other means to photograph and locate areas that can now be reached with drones or other devices.  By formulating a standard reference protocol and applying machine learning/AI, this information will be used to provide detailed analysis of Reclamation assets for better decision making. ",Proof-of-concept completed,,
