Title,Agency,Summary,Development Stage,Techniques
AI-Based Chat Bot,"Office of the Chief Information 
Officer","The OCIO EITS Service Desk is exploring the ability to use AI chat bots 
to interact with end-users. We are looking to have a single bot 
architecture that is highly tuned to IT system languages to properly 
handle the terms that may be used in an enterprise environment. The 
primary benefit would be to make knowledge more available to the end-
users in a consumable manner. Additionally, it would connect to ITSM 
workflows that could automate basic functions such as request an 
account, provide permissions, or create an MS Teams site as 
examples. Additionally, the technology needs to provide a significant 
amount of feedback to the EITS Service Desk on unanswered 
questions, questions dropped, ineffective responses, incorrect 
responses, etc.",,
AI/ML and other software advances,"Lawrence Livermore National 
Laboratory","Model architecture development research, including workflows, 
algorithm and performance optimization",,
"AI/ML may be needed to extract 
data from text, image and tabular-
based resources. NEWTS is 
partnering with university teams to 
use ML to fill in data gaps using 
predictive models.","National Energy Technology 
Laboratory","NEWTS data requirements and database structure needs will be 
established by reviewing datasets and literature on energy-water 
streams. Data sources will be identified from regulatory agencies, 
government monitoring programs, as well as open-source literature. 
Metadata of each source will be compiled into a data catalog for 
tracking and reference. Datasets, including high-quality composition 
data for relevant streams, will be collected and downloaded. Acquired 
data will be processed into a structured format based on the 
prioritization of datasets to be included in NEWTS. Data acquisition and 
processing might entail the application of ML (e.g., natural language 
processing) to efficiently resurrect data trapped in historical reports 
(e.g., PDFs) or other unstructured formats. One research product of this 
subtask will be a release of the data catalog, which will be made 
available on",,"Natural Language 
Processing, Other"
"AI/ML methodology for rapid design 
of sorbents tuned to specific ash 
impoundment and/or landfill 
requirements.","National Energy Technology 
Laboratory","Computation of the descriptors (atomic property-weighted radial 
distribution functions) that will be used for the ML portion of the task; 
Fitting of a machine-learned model for the prediction of B sorption; 
Optimization and computational design of a sorbent for maximum 
sorption of B as a function of B concentration in the aqueous solution; 
Force field generation for an additional pollutant (if needed); Sorption 
calculations and ML fitting for the second pollutant (TBD); Optimization 
and computational design of a sorbent for maximum sorption of the 
second pollutant as a function of pollutant concentration in the aqueous 
solution.",,Other
"Analysis to Assess Offshore CCS 
Trends and Gaps","National Energy Technology 
Laboratory","Providing expertise, input, and support for the development of a DOE 
(NETL/FECM) carbon storage technical resources catalog that 
facilitates searching for information about datasets, models and tools, 
publications and reports, and competencies resulting from DOE-
FECM/NETL’s offshore and CSP activities.  this project will complete a 
review and analysis of knowledge and data resources resulting from 
international offshore CCS projects. Outcomes of this analysis are 
expected to include the integration of key data and tools into the EDX-
hosted Open Carbon Storage Database and DisCO2ver platform (in 
development via the EDX4CCS FWP), as well as geo-data science 
based analysis and recommendations on geologic and metocean 
insights from international studies and their alignment or relevance to 
U.S. Federal offshore settings.",,Other
"ANN Submodels of Reaction 
Physics","National Energy Technology 
Laboratory",ANN development of flow physics for code acceleration,,Other
"Applications of Natural Language 
Processing and Similarity Measures 
for Similarity Ranking","Office of Environment, Health, 
Safety & Security","""EHSS has been developing applications of natural language 
processing (NLP) and similarity measures for advanced information 
retrieval and searching of datasets (e.g., SQL databases, CSV files, 
reports) as well as estimating similarities between records within a 
dataset or records between different datasets.  Similarity search has 
been successfully applied to efficiently search DOE COVID-19 Hotline 
questions and answer database, searching DOE annual site 
environmental reports, similarity between DOE occurrence reporting and 
processing system and lessons learned, and AIX data.  Similarity 
measures can also be used to identify opportunities for resource 
prioritization and prediction.
As of October 2021, the tool runs locally by the principal investigator on 
project based, as requested or as a desktop application.  Initial 
developments were initiated to move to a web-based application but not 
completed due to lack of user need and resources.""",,
APT Analytics,"Pacific Northwest National 
Laboratory",Development of AI/ML for automated analysis of APT data.,,
"Automated sorting of high repetition 
rate coherent diffraction data from 
XFELS","Brookhaven National 
Laboratory","""Coherent X-rays are routinely provided today by the latest Synchrotron 
and X-ray Free-electron Laser Sources. When these diffract from a 
crystal containing defects, interference leads to the formation of a 
modulated diffraction pattern called """"speckle"""". When the defects move 
around, they can be quantified by a correlation analysis technique called 
X-ray Photon Correlation Spectroscopy. But the speckles also change 
when the beam moves on the sample. By scanning the beam in a 
controlled way, the overlap between the adjacent regions gives 
redundancy to the data, which allows a solution of the inherent phase 
problem. This is the basis of the coherent X-ray ptychography method 
which can achieve image resolutions of 10nm, but only if the probe 
positions are known.
The goal of this proposal will be to separate """"genuine"""" fluctuations of a 
material sample from the inherent beam fluctuations at the high data 
rates of XFELs. Algorithms will be developed to calculate the 
correlations between all the coherent diffraction patterns arriving in a 
time series, then used to separate the two sources of fluctuation using 
the criterion that the """"natural"""" thermal fluctuations do not repeat, while 
beam ones do.  We separate the data stream into image and beam 
""""modes"""" automatically.""",,
"Biology, genomics, and synthetic 
biology","Lawrence Livermore National 
Laboratory","Combining experimental and computational methods to perform 
fundamental and applied research in genomics, molecular toxicology, 
nanotechnology, host–pathogen biology, structural biology, genetics, 
microbial systems, and medical countermeasures",,
"Computational capabilities to 
support experimental efforts","National Energy Technology 
Laboratory","This subtask will leverage NETL’s in-house computational capabilities 
and existing university collaborators to support experimental efforts by 
providing atomic-level DFT and microkinetic modeling calculations for 
catalyst systems. This work provides atomic-level details on reaction 
energetics and establishes key structure-property relationships used to 
optimize catalyst structure and formulation.",,
"Computational methods for the 
characterization of CO2 
chemisorption in amine-
functionalized MOFs.","National Energy Technology 
Laboratory","Databases of MOFs will be screened using computational methods to 
identify promising MOFs. Software will be further developed to allow for 
the addition of desirable functional groups (amines) to metal centers 
and/or ligands of MOFs. The team will calculate the reaction enthalpy for 
CO2 sorption in amine functionalized MOFs and further computational 
methods for the characterization of CO2 chemisorption in amine-
functionalized MOFs will be developed.",,Other
"Creation of polymer datasets and 
inverse design of polymers with 
targeted backbones having 
High CO2 permeability and high 
CO2/N2 selectivity.","National Energy Technology 
Laboratory","Machine learning models were developed to predict CO2 permeability 
and CO2/N2 selectivity of polymers. Novel methods were developed to 
generate polymer datasets. Furthermore, a novel machine learning 
technique is being developed to inverse design the polymers that will 
have targeted properties.",,Other
"Cyber security, data storage, and 
data management technologies","Lawrence Livermore National 
Laboratory","Data-processing pipelines and user interfaces to process and 
aggregate large, bulk, and possibly unstructured datasets allowing for 
search and export of data for further analysis in secure way",,
"Data Analytics and Machine 
Learning (DAMaL) Tools for Analysis 
of Environment, Safety and Health 
(ES&H) data:  Similarity Based 
Information Retrieval","Office of Environment, Health, 
Safety & Security","""The EHSS Data Analytics Machine Learning (DAMaL) tools, similarity-
based information retrieval tool, uses natural language processing 
(NLP) and cosine similarity to leverage artificial intelligence (AI) to 
increase the efficiency of a user to find important records in the DOE 
environment, safety, and health (ES&H) datasets (e.g., occurrence 
reporting and processing system, fire protection, lessons learned, 
accident and injury reporting system, contractor assurance system 
CAS).  The tool has no restriction on the text query, provides NLP 
options to the user (e.g., stemming or lemmatization) and could be used 
to improve decision-making in job planning activities, identifying hazards, 
and obtaining insights from operating experience and lessons learned 
data discovery and analysis, accident investigations among other areas.
As of October 2021, Tool developed and deployed in the DAMaL tools 
website.  Expected to continue to maintain, develop documentation 
(e.g., users analysis guides), improve and enhance, and increase data 
sources.",,
"Data Analytics and Machine 
Learning (DAMaL) Tools to enhance 
the analysis of Environment, Safety 
and Health (ES&H) data:  
Classification, Robotic Process 
Automation and Data Visualization","Office of Environment, Health, 
Safety & Security","""The EHSS Data Analytics Machine Learning (DAMaL) tools, 
classification, robotic process automation and data visualization tool, 
uses natural language processing (NLP) and classification algorithms 
(i.e., random forests) to automate the classification of records, visually 
provide insights in the trends and provide an indication of importance 
and risk.   The tool leverages artificial intelligence (AI) to analyze the text 
of the DOE environment, safety, and health (ES&H) and operating 
experience dataset records (e.g., occurrence reporting and processing 
system, fire protection, lessons learned, accident and injury reporting 
system, contractor assurance system CAS) and identifies important 
topics that can be used by an analyst to drill down and further explore 
potential safety issues in the DOE operations.
As of October 2021, the tool has been deployed in the DAMaL tools 
website.  Expected to continue to maintain, develop documentation 
(e.g., users analysis guides), improve and enhance, and increase data 
sources.",,
"Data Analytics and Machine 
Learning (DAMaL) Tools to enhance 
the analysis of Environment, Safety 
and Health (ES&H) data:  
Unsupervised Machine Learning 
Text Clustering","Office of Environment, Health, 
Safety & Security","""The EHSS Data Analytics Machine Learning (DAMaL) tools, 
unsupervised machine learning clustering tool, uses natural language 
processing (NLP) and clustering algorithms (i.e., k means, DBSCAN 
and dimensionality reduction approaches) to leverage AI to analyze the 
text of the DOE environment, safety, and health (ES&H) and operating 
experience dataset records (e.g., occurrence reporting and processing 
system, fire protection, lessons learned, and accident and injury 
reporting system, contractor assurance system CAS).  The tool 
identifies recurrent and important topics that can be used by an analyst 
to drill down and further explore potential recurrent safety issues in the 
DOE operations.
As of October 2021, the tool has been partially deployed in the DAMaL 
tools website.  Development is mostly complete with use case in Fire 
Protection Trending and Analysis completed and undergoing review of 
report.  Expected to continue to maintain, develop documentation (e.g., 
users analysis guides), improve and enhance, and increase data 
sources.",,
"Data discovery, processing, and 
generation using machine learning 
for a range of CCS data and 
information","National Energy Technology 
Laboratory","The team will focus on supporting ongoing geospatial data collection 
and publishing efforts leveraging the new EDX++ cloud computer 
capabilities through ArcGIS Enterprise Portal. The use of Arc Enterprise 
Portal will support the development of the Carbon Matchmaker tool, as 
well as support the release of a new version of GeoCube, which will be 
host to the updated Carbon Storage Open Database and NATCARB 
completed in EY21. NETL is supporting DOE-FECM in developing and 
releasing a survey and map for the Carbon Matchmaker, a tool 
developed to enable stakeholders to self-identify carbon dioxide related 
activities (production, utilization, storage, direct air capture, and 
infrastructure/transportation) to identify and connect stakeholders and 
support national collaborative opportunities. The ArcGIS Enterprise 
Portal will be leveraged to build out a new version of GeoCube with the 
migration of hundreds of spatial data layers into the new platform. The 
migration of data to an Arc Enterprise based GeoCube will enable 
easier version control for data integration and curation.",,"Big Data, Natural 
Language 
Processing, Other"
"Data platform to expedite access 
and reuse of carbon ore data for 
materials, manufacturing and 
research","National Energy Technology 
Laboratory","Data platform to expedite access and reuse of carbon ore data for 
materials, manufacturing and research.  Assembled using data science, 
NLP methods, and hosted in virtual, multi-cloud platform for online 
analytics.",,"Natural Language 
Processing, Other"
"Database will be utilized to 
demonstrate targeted biocide 
strategies using AI to assess large 
DNA datasets.","National Energy Technology 
Laboratory","The team will develop a public DNA database that will advance 
knowledge in produced water management. This project consists of two 
phases: (1) the development and launching of the database, and (2) the 
demonstration of applicability of the database by conducting a network 
analysis. The work will be pursued as defined in the phases below. The 
fully characterized streams will be used by other FWPs to estimate 
overall resource recovery and will be used by other FWPs as training 
set for machine learning (ML) models to predict compositions when only 
limited measurements can or have been completed for the produced 
water.",,"Big Data, Other"
"Deep Learning Malware Analysis for 
reusable cyber defenses.",Idaho National Laboratory,"The INL uses machine learning (feed forward neural network) on a large 
data set of translated malware binaries in graph structures to identify 
commonality between malware.",,
"Demonstrate how ML-based 
approaches can help operators 
during active injection and post-
injection monitoring","National Energy Technology 
Laboratory","To demonstrate how ML-based approaches can help operators during 
active injection and post-injection monitoring, it is necessary to 
understand their needs and identify how ML-based approaches can 
potentially meet or support those needs. Task 4 will establish data-
sharing protocols between SMART and the operator to create an 
exchange mechanism that is not intrusive to the operator and provides 
updates from ML results designed to enhance the operator decision 
process. Demonstrate application of ML-based approaches to improve 
site-monitoring and operations efforts performed during injection and 
post-injection phases, e.g., using IL-ICCS data, and developing value of 
information guidelines.",,Other
"Demonstrate the robust 
performance of our ML method in a 
commercial-scale synthetic data and 
integrate image-to-image mapping 
with convolutional neural networks","National Energy Technology 
Laboratory","Our method quickly incorporates streaming observations for accurate 
and timely forecasts with uncertainty quantification, taking reservoir 
simulation data as inputs and incorporating real-time observation 
streams for accurate, timely geological carbon storage forecasts.
Computation effort is distributed over many machines, facilitates 
coupled inversions using many ML models, and allows for ML-Driven 
optimization and sensitivity analysis",,"Neural Networks, 
Other"
"Develop and demonstrate 
reinforcement learning approach for 
time-varying control for flexible 
hydrogen and power production.","National Energy Technology 
Laboratory","Efforts on IES control will include the development of a dynamic 
optimization-based nonlinear model predictive control (NMPC) 
framework. NMPC approaches for optimizing cell thermal management 
and maximizing IES efficiency under set-point transition will be 
developed for flexible operation. Reinforcement learning (RL) 
approaches will also be developed for optimal control policy selection 
and learning-based adaptive control. There are opportunities for 
improved learning through interaction with the electrolyzer in addition to 
learning from the MPC action. Multi-policy approaches will be developed 
for control, independently by RL or in concert with MPC, or even for 
scheduling the operating policy.  The ultimate goal is to develop 
operational strategies and an NMPC and RL control framework for 
optimizing IES performance under flexible hydrogen and power 
production scenarios, while minimizing physical and chemical 
degradation over long-term operation.",,Other
"Develop fast predictive models using 
novel machine-learning based 
methods.","National Energy Technology 
Laboratory","Accurate, fast predictive ML models form the foundation for the virtual 
learning platform. Generating training data then developing ML based 
models enables a Virtual Learning Environment (VLE) for exploring and 
testing strategies to optimize reservoir development, management & 
monitoring prior to field activities.",,Other
"Develop, integrate, and automate 
the reduction of CFD models while 
preserving acceptable levels of 
accuracy.  In general for CCSI2, this 
work intends to focuse on CFD 
applications.","National Energy Technology 
Laboratory","Will leverage state-of-the-art, physics-based deep learning (DL) models 
to learn generalizable surrogates that may be used in place of CFD 
models to predict quantities required for downstream optimization. The 
products from this subtask can be immediately leveraged by other 
subtasks that are seeking to speed up their CFD simulation models to 
streamline their downstream analyses. Addtionally, improvements to the 
ML/AI interface in FOQUS. Includes support for vector variables in the 
ML/AI plugin and support for additional surrogate model tools (e.g., 
PyTorch, Sci-kit Learn) and additional normalization function forms in 
the ML/AI plugin.",,"Neural Networks, 
Other"
Development of AI/ML methods,"National Energy Technology 
Laboratory","Develop quality, reliability, and version control standards for SMART 
software. Continue development of AI/ML methods for use by the 2A 
and 2C activities, including Modeling anomalies due to local 
heterogeneity coupled with an enhanced capacitance-resistance model 
(CRM) and Bayesian Belief Network (BBN) modeling integrated with 
geochemistry. Continue development of advanced computational 
approaches with modeling using the most advanced general purpose 
PDE/ODE physics-informed neural network (PINN) tool developed by 
NVIDIA and accelerate training PINNs using Wafer Scale Engine (WSE) 
by Cerebras Systems Inc.",,Other
"Development of new machine 
learning-based process modeling 
capabilities that assess the viability 
and efficiency, with uncertainty 
quantification, of the chemical 
processes involved in the carbon 
fiber production and its output quality","National Energy Technology 
Laboratory","Provide sub-pilot-scale verification of lab-scale developments on the 
production of isotropic and mesophase coal-tar pitch (CTP) for carbon 
fiber production, using coals from several U.S. coal-producing regions. 
An extensive database and suite of tools for data analysis and economic 
modeling, with an associated web-based community portal, will be 
developed to relate process conditions to product quality, and to assess 
the economic viability of coals from different regions for producing 
specific high-value products.",,Artificial Intelligence Unknown
DOE AI Data Infrastructure System,"National Energy Technology 
Laboratory","Leveraging generative AI and cloud enabled data infrastructure to 
improve CCS user experience and connectivity producing an adaptive 
user interface that streamlines connection of CCS stakeholders to what 
matters to them.",,"Artificial 
Intelligence, Big 
Data, Other"
"Elucidating Genetic and 
Environmental Risk Factors for 
Antipsychotic-induced Metabolic 
Adverse Effects Using AI","Pacific Northwest National 
Laboratory","Develop AI methids to  find phenotypes that capture complex interation 
between human genome, chronic diseases and a drug's chemical 
signature to predict adverse side-effects of a mental health drug on 
human population",,
Extreme data reduction for the edge,Fermi National Accelerator,"This projects develops AI algorithms and tools for near-sensor data 
reduction in custom hardware.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks, Novel 
Spectroscopic 
Technology"
"FIMS - Invoice BOT - Employee 
Reimbursements
FIMS - Invoice BOT - Purchase 
Power","Western Area Power 
Administration","PROCESS - Invoices are sent to the RPA Invoice Intake email box 
(RPAInvoiceIntake@WAPA.GOV). Once a day, unattended bot will 
extract information from PDF invoices. The invoice is classified to 
determine whether the invoice is an Employee Reimbursement or a 
Purchase Power Invoice.  The information extracted from the invoice is 
then review/validated by the Accounts Payable Technician. After 
validation, the bot will load the information into the WAPA Financial 
Management System.","Operation and 
Maintenance","Artificial 
Intelligence, 
Document 
Understanding"
"Fluid migration from well-to-well 
communication will be inputted in AI 
to determine a costs-benefit analysis","National Energy Technology 
Laboratory","This project will develop an ML algorithm to predict the time when a 
growing fracture will reach the monitored well. The ML workflow will be 
trained on the distinctive tensile strain signature that precedes the 
growing fracture. The new workflow will be designed to work in 
conjunction with the fracture warning ML workflow developed in EY21. 
Together, these workflows will: (1) provide an early warning of well-to-
well communication, (2) predict the measured depths where the 
communication will happen, and (3) provide an estimated time until the 
beginning of well-to-well communication.",,"Artificial 
Intelligence, Big 
Data, Other"
"Geo Threat Observable for structure 
cyber threat related to the energy 
sector",Idaho National Laboratory,"Collection of open source threat inforamtion related to cyber issues in 
the energy sector, collected stored in graphdb and used in machine 
learning for similarities of threat enabling better reuse of cyber 
protections.",,
"Geochemically Informed Leak 
Detection (GILD)","National Energy Technology 
Laboratory","A Bayesian Belief Network has been developed to interogate the altered 
geochemistry around a potential CO2 leakage site. The use of the BNN 
and site specific parameters will reduce the percentage of false 
positives with this method.",,"Artificial 
Intelligence, Other"
Groundwater Modeling,Office of Legacy Management Groundwater modeling includes parameter estimation,,,
"High-performance computing, 
semiconductors, and advanced 
computer hardware","Lawrence Livermore National 
Laboratory","Novel computer hardware architecture/configurations that can perform 
at the edge and/or in harsh environments",,
High-Velocity AI: Generative Models,Fermi National Accelerator,"This project has two parts: 1. generating adversarial examples and then 
using domain adaptation and other techniques to improve the 
robustness of AI classification algorithms against those attacks 
(focusing on astrophysics/cosmology applications); 2. using AI 
algorithms to improve the output of low-quality classical simulation 
engines to deliver a high-quality result at high speed.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks, 
Hierarchical 
Generative Model"
hls4ml,Fermi National Accelerator,"This project develops hardware-software AI codesign tools for FPGAs 
and ASICs for algorithms running at the extreme edge.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"In-pixel AI for future tracking 
detectors",Fermi National Accelerator,"This project explores novel  AI-on-chip technology for intelligent 
detectors embedded with sensing technology",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"In-storage computing for multi-
messenger astronomy in neutrino 
experiments and cosmological 
surveys",Fermi National Accelerator,"This project aims to address the big-data challenges and stringent time 
constraints facing multi-messenger astronomy (MMA) in neutrino 
experiments and cosomological surveys. Instead of following the 
traditional computing paradigm of moving data to the compute 
elements, it does the opposite to embed computation in the data where 
processing is performed in situ. This will be achieved through emerging 
computational storage accelerators on which ML algorithms may be 
deployed to execute MMA tasks quickly so alerts can be disseminated 
promptly.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"Initial case study using regulatory 
compliance (well integrity testing, 
fluid compositionali data, 
geographic, and geologic 
information from oil and gas wells in 
the Wattenberg Field, Denver Basin, 
central  Colorado, USA","National Energy Technology 
Laboratory","Researchers will apply artificial intelligence/machine learning (AI/ML) 
techniques to national-scale well characterization and integrity test 
datasets to yield new insights into leakage potential.",,Other
"Innovation methods, processes and 
promising practices that can affect 
the speed and effectiveness of 
innovation processes at scale.","Lawrence Livermore National 
Laboratory","Computational approaches that lead to faster insights into the 
development and deployment of large scale operations",,
Laboratory Automation,"Pacific Northwest National 
Laboratory","Employing machine learning to identify regions of interest in SEM and 
TEM data. Automating data acquisition to improve efficiencies.",,
"Machine learning based  
identification of current hazardous 
offshore metocean and bathymetric 
conditions that can impact safe 
offshore energy operations","National Energy Technology 
Laboratory","Build off user testing and further refine analytical logic to develop 
Version 2 of the OGA smart tool for release on EDX. Continue 
refinements to offshore hazard models, including wave and turbidity 
current models. Draft manuscripts detailing the OGA Tool models and 
algorithms. Assemble a metocean and seafloor database for release 
with the OGA Tool Version 2 online; strategize web-hosted versions of 
the OGA Tool and database.",,"Big Data, Neural 
Networks, Other"
"Machine Learning for Accelerator 
Operations Using Big Data Analytics 
/ L-CAPE",Fermi National Accelerator,"Big data analytics for anomaly prediction and classification, enabling 
automatic mitigation, operational savings, and predictive maintenance of 
the Fermilab LINAC",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"Machine Learning for Autonomous 
Control of Scientific User Facilities","Brookhaven National 
Laboratory","BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-
II Operations to interpret accelerator data more intelligently.  We intend 
to train said algorithms with 5+ years of archived device-data from 
accelerator components, records of previous fault causes (to connect to 
data-symptoms) and stored beam current.",,
"Machine Learning for geophysical 
data inversion","National Energy Technology 
Laboratory","Use machine learning to generate synthetic seismic and gravity data, 
and data driven inversion for leak detection",,Other
"Machine learning for legacy well 
evaluation","National Energy Technology 
Laboratory","Use machine learning to identify common attributes that correlated to 
well integrity issues to prioritize for monitoring and remediation.",,Other
"Machine Learning for Linac 
Improved Performance",Fermi National Accelerator,"In Linacs at FNAL and J-PARC, the current emittance optimization 
procedure is limited to manual adjustments of a few parameters; using 
a larger number is not practically feasible for a human operator. Using 
machine learning (ML) techniques allows lifting this restriction and 
expanding this set. Our goal is to integrate ML into linac operation - and 
in particular RF control to achieve a more optimal longitudinal emittance 
and lower overall losses.",,"Artificial 
Intelligence, Big 
Data, Neural 
Networks"
"Machine learning to process multi-
model data and information to aid in 
the identification of undocumented 
orphaned wells","National Energy Technology 
Laboratory","Use of machine learning to process and analyze trends and patterns in 
known well data to predict undocuemnted orphaned wells, as well as 
machine learning approached to process different imagery based data 
to further classify and characterize additional undocuemented orphaned 
wells within the Appalachain Basin",,"Big Data, Other"
"Machine learning to refine and 
analyze data for CCS needs","National Energy Technology 
Laboratory","Utilze and apply different machine learning approaches to process data 
and generate new derivative data products that help address CCS 
stakeholder data-needs for resource evaluation, risk assessment, 
supply chain, social and environmental justice evaluations, regulatory 
compliance, and more.",,"Big Data, Other"
"Machine learning to tool and model 
applications for CCS needs","National Energy Technology 
Laboratory","Utilze and apply different machine learning approaches to help model 
and analyze Class VI well regulatation data, CCS infrastructure 
optimization, CCS data visualization, and interaction with “really big” 
(petabyte-scale) datasets used for CCS resource characterization and 
risk reduction (e.g., reflection seismic surveys) within the EDX multi-
cloud ecosystem.",,"Big Data, Other"
Managing curb allocation in cities,"Pacific Northwest National 
Laboratory","This project's goal is to develop a city-scale dynamic curb use 
simulation tool and an open-source curb management platform that 
address the challenge of increased demand for curb-side parking.",,
"Memorandum of Understanding 
Between the US DOE and US NRC 
on Cooperation in the Area of 
Operating Experience and 
Applications of Data Analytics 
(Signed June 2021)","Office of Environment, Health, 
Safety & Security","The purpose of the Memorandum of Understanding (MOU) between the 
US DOE and US NRC on cooperation in the area of operating 
experience and applications of data analytics (Signed June 2021) is to 
efficiently use resources and to avoid needless duplication of effort by 
sharing data, technical information, lessons learned, and, in some 
cases, the costs related to the development of approaches and tools, 
whenever such cooperation and cost sharing may be done in a mutually 
beneficial fashion.  The technical areas for collaboration include, those 
related to operating experience and safety data collection and analysis, 
including operational events, occupational injuries, hazardous substance 
releases, nuclear safety, radiation protection, equipment failure, 
accidents and accident precursors, trending analysis, and risk-informed 
decision-making.  Applications of data analytics in the analysis of 
operating experience and safety data, including data visualization and 
analysis, artificial intelligence, machine learning, natural language 
processing, predictive analytics, and other advanced analysis 
techniques, user interface design, and deployment, and decision-
making using data analytics tools.",,
"ML-based approaches to improve 
site characterization efforts","National Energy Technology 
Laboratory","Demonstrate application of ML-based approaches to improve site-
characterization efforts performed during the pre-injection phase using 
data from either IBDP (for which data are currently available) or other 
opportunistic field demonstration or commercial projects (for which data 
may become available) and develop value of information guidelines. 
Demonstrate how ML-based rapid forecasting can be used to help with 
pre-injection reservoir management decisions under data uncertainties. 
Demonstrate how a visualization platform with ML-based models can",,Other
"ML-based proxy models and multi-
level data driven fracture network 
imaging to support rapid decision 
making.","National Energy Technology 
Laboratory","ML-based proxy-models of fracture network, HF geometry, HF 
properties, bottomhole pressure and drainage volume contribute to 
fracture network, production forecast and well drainage volume 
visualizations.",,Other
